,sofifa_id,age,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Low,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185),body_type_Stocky (185+),body_type_Unique,lf
27,188152,29,179,70,1,3,4,78,79,82,82,59,67,81,78,59,85,72,81,77,78,84,83,82,74,87,78,86,80,76,84,60,82,60,52,81,78,70,79,66,59,55,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81
28,189242,29,172,68,1,4,5,69,79,80,88,52,59,78,75,48,80,78,89,90,86,77,89,74,65,89,80,92,82,58,74,52,86,59,49,80,82,70,79,55,54,47,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81
29,197781,29,176,79,1,3,4,66,75,80,88,59,59,78,76,55,81,67,91,88,76,80,90,70,62,81,75,90,69,60,59,59,78,58,61,77,81,74,83,58,64,51,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,80
30,205070,29,167,66,1,4,3,90,78,77,79,59,79,78,81,77,77,74,78,80,64,76,80,89,90,83,81,82,82,75,88,74,74,82,55,83,79,53,77,55,61,59,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81
31,210035,25,171,69,0,2,3,87,65,81,83,74,71,82,52,66,83,61,83,85,81,79,83,86,87,84,83,86,79,64,90,63,79,69,79,77,78,54,83,71,76,74,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79
32,224458,24,178,73,1,5,4,84,81,73,85,57,77,71,84,77,75,78,85,77,58,71,85,88,81,87,84,86,84,76,81,71,75,85,56,85,75,63,83,54,57,45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,82
33,227796,22,177,69,1,4,4,89,70,73,86,37,59,74,73,50,77,70,88,69,58,59,85,91,87,87,78,88,77,79,76,54,57,45,33,79,80,61,80,38,32,47,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,81
34,229906,23,178,77,0,4,4,93,78,74,84,33,64,74,79,57,73,74,86,79,79,66,82,93,93,86,80,84,79,77,75,61,78,55,21,81,80,71,75,45,25,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,82
35,229984,24,178,77,0,3,3,76,53,77,78,78,75,82,49,68,79,42,78,71,67,73,81,77,75,70,80,72,72,86,88,69,42,73,78,74,73,52,74,78,79,82,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74
36,231943,24,181,71,1,5,4,83,78,73,83,53,80,73,80,83,79,75,86,74,65,61,83,85,81,79,82,73,83,86,83,77,70,84,46,83,74,77,81,45,58,48,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81
37,235410,24,188,78,0,4,3,78,83,58,78,35,76,48,89,84,69,76,84,63,47,58,79,74,81,68,80,47,83,83,76,76,75,76,31,82,52,67,74,27,31,27,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75
38,139068,34,177,70,1,5,5,70,77,81,85,37,68,82,73,62,82,75,86,86,80,77,86,77,65,85,81,77,85,32,67,68,81,76,31,81,81,70,84,53,22,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81
39,181458,32,186,80,0,5,4,81,79,76,79,64,74,80,78,80,78,81,78,73,75,72,80,82,81,81,79,78,84,85,75,76,77,65,69,83,74,76,80,64,58,54,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,79
40,221992,25,175,70,1,3,4,93,76,72,82,41,62,73,77,62,74,74,83,72,65,65,80,92,93,89,81,82,76,67,76,54,75,64,45,82,74,73,75,42,35,29,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81
41,230256,29,172,68,0,4,2,93,66,75,76,72,77,81,59,66,81,64,77,70,66,71,72,92,93,81,82,78,73,75,91,73,73,69,74,69,64,65,74,73,72,69,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,76
42,234742,23,180,66,1,4,3,86,77,76,81,45,63,78,78,46,77,66,82,76,69,68,81,85,86,81,82,79,80,59,73,64,79,48,43,81,79,54,75,45,47,44,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81
43,241852,21,170,68,0,2,4,94,67,73,85,41,53,75,73,28,78,63,87,66,41,70,82,96,92,92,77,93,73,62,70,44,54,51,48,77,76,42,75,46,35,46,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81
44,177388,34,175,77,1,4,4,69,77,83,82,38,67,85,75,59,83,76,84,83,74,80,83,71,68,81,75,73,80,40,69,72,77,57,37,79,83,79,74,32,37,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80
45,202166,27,187,77,1,5,4,74,76,80,82,58,66,79,74,64,81,77,83,77,76,77,84,76,73,80,78,74,80,77,68,67,78,56,66,78,81,65,82,48,64,44,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,79
46,203980,28,183,70,1,5,3,75,77,79,82,43,69,77,78,62,81,72,83,84,81,76,84,74,76,79,77,69,76,69,76,68,77,65,37,77,79,78,80,47,38,38,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,79
47,208808,29,174,72,1,4,4,88,78,78,81,46,69,78,79,66,79,69,81,75,76,73,80,87,88,85,82,78,81,79,81,64,76,65,38,81,81,74,79,46,48,40,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80
48,210455,27,170,70,1,3,3,75,53,71,76,79,69,78,49,69,76,44,76,66,54,64,77,76,74,71,78,80,68,76,78,59,47,82,79,67,68,46,74,79,81,80,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,71
49,223816,27,177,79,1,3,4,88,80,67,81,38,76,68,84,71,67,72,81,64,62,65,81,90,87,91,80,72,80,74,84,76,72,68,35,81,68,80,72,23,40,45,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79
50,225953,23,178,78,1,2,4,85,78,75,82,39,69,77,75,60,80,75,84,78,66,63,82,87,84,79,78,89,84,68,74,75,81,50,34,78,77,68,76,52,28,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80
51,226491,24,178,70,0,3,3,84,60,75,77,75,79,82,52,59,77,38,78,72,56,68,77,86,83,76,76,77,79,80,86,74,66,84,77,73,73,42,74,78,76,76,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75
52,230271,21,171,63,0,5,4,80,72,77,82,26,45,73,72,44,79,67,82,56,75,80,82,87,75,85,80,89,67,43,67,35,75,41,31,82,80,74,77,29,13,23,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,79
53,238794,20,176,73,1,4,5,95,70,71,87,29,66,71,69,50,72,70,89,77,62,67,85,95,95,94,75,81,73,75,80,62,68,58,26,76,73,65,75,32,25,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80
54,156616,38,170,72,1,5,5,69,73,81,85,30,53,74,71,41,85,79,87,83,81,82,89,69,69,74,69,87,79,33,54,55,68,51,33,79,81,78,81,31,25,26,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79
55,188042,33,183,75,1,4,4,79,77,77,83,44,75,75,76,76,77,75,82,83,70,74,84,84,75,88,81,82,78,75,75,74,78,77,29,80,82,71,85,45,45,39,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79
56,190813,28,178,73,1,3,4,87,75,74,79,46,63,75,74,65,75,83,79,85,68,66,77,87,87,93,75,80,73,69,71,64,77,51,36,79,78,69,73,59,37,35,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,79
57,192638,30,188,85,0,3,3,58,74,78,77,75,77,83,70,83,82,76,78,85,86,71,83,61,55,64,80,55,84,73,82,76,75,75,72,77,67,63,75,68,80,77,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75
58,206467,28,181,79,1,3,4,71,82,77,79,39,74,78,83,73,78,80,78,82,73,72,79,77,66,80,82,79,82,71,77,75,83,67,39,83,80,64,79,29,40,30,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79
59,209846,28,184,83,0,2,3,83,55,70,70,74,81,84,49,66,69,39,72,75,68,64,69,77,88,64,77,64,73,53,87,80,54,84,75,65,59,44,71,73,76,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,69
60,213516,26,173,63,1,3,3,78,78,75,80,42,69,75,79,51,77,82,81,78,70,69,79,81,75,83,82,85,78,62,82,64,75,67,55,82,77,71,73,32,44,35,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,79
61,220253,25,175,69,0,3,4,79,78,75,82,35,66,73,79,77,80,80,82,81,67,62,83,82,76,83,78,79,78,66,72,66,77,58,25,78,76,66,80,38,27,25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,79
62,224031,28,185,85,1,4,3,86,66,67,74,75,79,76,56,76,71,68,75,76,48,55,76,84,88,64,76,77,79,81,82,79,77,74,74,69,60,58,69,74,75,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73
63,236632,24,176,66,0,3,5,85,72,73,85,37,64,67,74,45,78,72,85,70,52,69,85,86,85,90,75,86,73,56,73,64,67,55,35,75,79,69,79,42,32,29,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,79
64,237942,23,175,78,0,3,3,82,34,68,72,75,75,79,20,75,78,38,73,59,36,62,71,81,83,76,71,70,41,69,79,74,42,74,75,52,56,69,62,69,80,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65
65,152908,35,175,65,1,3,4,72,66,74,77,73,68,79,63,66,77,74,78,85,75,65,77,79,67,75,78,76,74,68,68,62,63,83,75,69,68,60,79,73,73,72,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74
66,173306,34,181,76,1,5,4,77,64,76,77,72,70,78,57,63,79,68,75,80,47,76,81,77,77,76,75,69,73,69,76,64,69,78,69,71,75,52,81,69,79,79,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,74
67,184392,31,182,70,1,5,3,70,58,69,74,78,68,74,55,68,74,59,72,69,35,68,74,70,70,77,79,77,69,67,75,62,56,74,78,69,65,45,78,78,80,78,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,70
68,205192,27,178,66,1,3,3,74,71,81,80,61,56,75,70,49,84,68,81,82,70,79,80,74,74,81,81,75,74,58,65,55,72,47,65,78,85,63,75,69,58,49,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,78
69,210736,26,176,79,0,2,3,80,63,70,78,75,63,78,51,60,77,51,79,53,71,66,80,83,78,75,75,76,80,67,70,57,77,69,78,72,57,55,72,77,77,76,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74
70,217036,28,179,68,0,3,3,88,60,71,77,71,64,75,59,60,73,65,78,69,57,64,75,87,89,85,74,78,61,62,91,51,56,63,70,73,73,70,60,71,74,72,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,75
71,221832,26,175,70,0,3,3,77,71,74,74,74,72,78,65,65,77,55,72,76,80,64,78,78,77,69,67,78,81,68,78,70,78,70,73,77,69,65,72,69,80,79,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74
72,224069,28,185,74,1,4,3,85,78,71,77,25,70,73,79,74,74,75,77,67,63,61,76,83,87,78,79,73,81,71,76,76,73,48,21,81,73,72,76,23,14,18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,78
73,224254,25,174,78,1,3,4,90,76,74,79,49,73,74,72,48,75,63,78,78,76,68,76,92,89,91,77,85,83,65,89,73,83,56,49,76,75,72,70,65,40,33,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78
74,226766,25,165,58,1,4,4,90,65,71,85,33,50,66,67,42,75,57,86,75,42,70,82,94,86,92,77,93,66,65,75,30,57,67,21,76,78,63,78,42,30,29,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78
75,227890,26,176,73,0,3,4,81,75,75,80,43,67,79,70,57,74,84,81,77,72,71,80,84,79,81,79,72,83,57,78,60,76,74,59,76,74,71,75,44,33,26,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78
76,230183,21,186,73,0,5,3,79,67,71,71,74,78,76,54,77,77,71,71,81,77,67,72,77,80,68,72,58,84,78,89,67,77,94,67,57,56,77,77,74,77,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69
77,230385,29,175,72,0,3,4,81,72,81,80,23,50,86,73,20,85,64,80,72,81,84,79,82,80,88,65,86,68,57,75,46,72,26,21,73,69,76,71,28,20,24,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78
78,230460,21,172,70,0,4,4,78,69,77,79,45,54,82,74,49,79,65,82,69,64,75,77,81,75,79,78,78,60,69,58,49,70,58,53,77,75,46,69,50,38,30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78
79,231410,21,171,59,1,5,4,78,69,76,82,30,50,66,69,30,83,55,82,74,61,74,83,82,74,89,72,91,70,66,67,44,71,41,30,73,78,58,69,40,23,21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77
80,238616,21,172,62,0,4,4,87,74,69,81,31,59,70,76,49,75,65,83,66,51,56,80,86,87,86,75,86,76,52,72,56,74,53,41,76,73,62,64,32,23,17,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78
81,239380,22,179,69,1,3,4,82,74,72,82,51,67,66,76,48,78,80,84,69,57,67,80,85,80,85,76,82,72,67,76,63,69,65,57,75,76,71,82,47,53,43,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78
82,240699,24,167,65,1,4,4,84,75,77,81,69,67,72,73,69,79,72,81,83,76,72,78,86,83,92,77,86,80,83,93,44,75,87,71,79,80,69,82,64,74,64,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79
83,244193,23,176,72,1,4,4,86,76,73,80,38,69,73,74,57,74,74,82,78,75,69,78,87,86,80,78,77,82,72,71,71,76,59,37,76,72,76,78,37,35,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,78
84,252145,19,176,70,0,4,3,85,57,68,74,74,72,74,45,67,71,54,72,66,59,68,75,82,88,82,76,76,80,71,81,69,63,67,75,72,59,45,75,73,76,73,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,71
85,20775,37,175,68,1,4,5,72,71,78,84,24,60,82,64,41,73,80,86,94,71,73,84,72,72,80,72,84,78,63,54,59,78,68,24,73,83,73,82,29,17,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77
86,177326,36,167,58,1,4,3,67,75,79,78,34,47,79,73,48,81,76,78,80,75,77,80,69,65,76,74,73,75,60,60,37,77,52,34,76,77,79,75,38,26,34,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,76
87,183899,32,163,63,0,2,3,82,74,74,78,47,56,77,74,71,76,71,80,78,58,70,75,85,79,78,75,88,75,76,66,47,76,63,51,77,75,64,70,52,35,38,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77
88,184858,32,190,80,1,3,3,77,77,64,71,34,78,68,79,83,67,67,71,56,69,58,73,75,78,71,75,64,78,84,82,84,74,54,33,79,59,72,67,26,29,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,73
89,188044,31,178,64,1,3,4,84,75,68,81,33,72,66,79,76,68,76,83,78,72,63,79,84,84,88,75,75,74,82,77,75,68,55,33,78,72,76,70,35,20,22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,77
90,188081,31,173,68,1,4,4,83,76,73,80,40,70,63,77,54,79,78,80,73,59,72,81,84,82,85,73,76,74,79,78,72,76,52,55,80,79,74,82,30,35,37,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77
91,192342,28,183,92,1,4,3,54,78,81,76,36,77,79,74,55,82,74,77,82,85,79,83,54,54,65,73,60,87,33,61,89,85,79,40,74,81,66,73,30,35,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,75
92,193290,30,177,73,1,4,4,80,76,72,79,35,74,68,78,67,75,75,78,71,75,65,81,79,80,81,77,70,77,81,76,75,71,69,31,78,74,73,76,35,30,26,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,77
93,200536,28,181,83,0,2,3,86,51,72,73,72,77,77,48,60,73,49,73,59,42,73,73,82,90,71,75,73,65,63,77,79,40,75,76,72,75,56,74,72,73,74,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,71
94,202851,30,179,77,0,3,3,82,77,68,81,36,51,70,77,68,67,75,83,67,69,60,82,85,80,80,75,72,79,42,49,53,78,53,37,79,75,69,75,50,15,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,77
95,207421,26,172,67,1,4,4,82,76,74,80,30,61,74,76,62,75,74,79,81,69,73,77,89,76,92,72,85,76,78,71,60,79,47,18,75,74,75,80,30,31,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77
96,208777,26,175,70,1,4,3,63,67,78,82,63,54,73,66,52,81,63,83,80,64,77,84,67,59,78,76,77,69,52,74,42,68,61,67,74,80,65,81,65,63,58,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,76
97,212491,27,179,70,0,2,4,80,63,72,79,70,70,78,55,63,75,61,82,72,48,69,78,77,82,77,74,79,75,70,78,67,71,65,69,65,71,49,75,66,75,74,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74
98,213013,27,170,60,0,3,4,94,76,68,81,49,77,60,78,55,73,67,83,73,53,67,74,93,94,93,76,92,79,76,91,74,72,66,42,75,68,63,67,40,59,52,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77
99,213655,25,185,75,1,3,4,77,64,72,80,38,68,72,63,44,77,51,83,70,40,65,80,75,79,77,74,75,72,47,74,72,62,54,35,75,75,59,73,38,41,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,75
100,215160,27,184,84,0,3,3,80,68,74,74,70,79,81,63,61,73,69,74,79,63,75,71,78,82,82,74,70,78,60,90,77,69,77,72,71,68,65,74,69,72,72,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,73
101,217877,25,177,73,0,3,4,80,71,72,82,33,61,70,71,49,74,66,83,72,72,67,82,86,75,83,73,79,69,82,70,57,76,56,35,76,72,62,81,37,26,24,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,77
