,sofifa_id,age,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Low,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185),body_type_Stocky (185+),body_type_Unique,rm
10,216594,27,173,75,0,4,4,83.0,83.0,82.0,87.0,38.0,79.0,79,83,49,84,77,88,83,79,78,87,88,79,82,79,91,84,64,79,81,84,79,34,82,83,74,89,34,42,30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,84
11,222492,25,183,80,0,2,4,90.0,81.0,79.0,85.0,38.0,68.0,83,81,72,81,85,87,83,82,64,84,91,89,84,79,79,87,64,68,70,78,63,34,84,82,71,80,36,32,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85
12,189575,28,170,66,1,3,4,81.0,76.0,82.0,87.0,51.0,61.0,81,79,43,85,68,87,84,78,74,87,84,78,91,80,94,72,72,77,49,77,66,45,81,84,61,82,58,55,38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,83
13,192883,32,177,75,1,5,4,85.0,80.0,79.0,83.0,56.0,74.0,77,80,68,83,79,84,81,66,71,83,86,85,84,82,83,84,66,88,69,77,69,60,84,84,72,82,51,53,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83
14,193082,33,179,72,1,3,5,90.0,75.0,77.0,87.0,76.0,72.0,84,70,67,81,70,90,80,69,69,85,91,89,94,82,81,84,80,78,66,80,78,73,75,72,65,74,75,80,83,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83
15,213565,25,171,66,0,3,4,82.0,76.0,82.0,86.0,59.0,63.0,83,75,54,83,76,88,85,81,76,86,84,80,88,81,82,79,69,76,55,77,63,66,80,83,68,79,55,59,63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85
16,214997,26,171,70,1,4,4,85.0,83.0,78.0,87.0,49.0,74.0,75,85,69,82,80,88,82,65,66,87,86,85,90,84,87,83,49,82,71,86,79,48,84,84,55,76,42,53,44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85
17,230481,29,177,75,1,4,4,88.0,77.0,83.0,84.0,35.0,72.0,83,74,64,83,76,85,86,78,82,83,90,87,86,84,71,82,69,88,68,78,62,40,82,83,77,81,24,35,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83
18,235805,23,175,70,1,4,4,91.0,81.0,74.0,85.0,48.0,73.0,73,79,50,78,80,89,78,52,72,82,91,91,87,83,81,86,53,85,71,84,69,30,81,75,62,78,65,44,44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85
19,173731,31,185,82,0,3,4,82.0,84.0,82.0,80.0,55.0,70.0,86,82,84,80,85,80,91,87,79,83,80,83,78,78,64,90,84,61,76,87,64,53,82,79,76,85,50,53,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82
20,193165,28,173,66,1,5,5,83.0,67.0,79.0,85.0,74.0,60.0,79,66,71,82,74,85,82,67,71,84,86,81,91,84,87,66,71,88,39,63,73,76,79,83,68,87,75,74,72,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82
21,199823,28,179,70,1,3,4,68.0,74.0,83.0,82.0,71.0,72.0,81,73,65,84,66,83,85,78,82,85,70,66,74,80,80,76,61,82,71,76,63,71,76,86,69,83,72,75,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
22,205070,29,167,66,1,4,3,90.0,78.0,77.0,79.0,59.0,79.0,78,81,77,77,74,78,80,64,76,80,89,90,83,81,82,82,75,88,74,74,82,55,83,79,53,77,55,61,59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82
23,210935,26,183,72,0,3,4,79.0,80.0,81.0,85.0,36.0,69.0,77,80,62,85,78,83,78,75,79,88,81,77,90,77,82,83,65,70,63,80,85,26,79,81,76,78,42,30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
24,216547,28,170,63,1,3,4,94.0,73.0,74.0,86.0,50.0,52.0,78,74,46,77,68,86,78,56,62,85,93,94,90,83,89,75,64,77,40,71,47,58,80,78,59,81,52,47,39,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
25,229906,23,178,77,0,4,4,93.0,78.0,74.0,84.0,33.0,64.0,74,79,57,73,74,86,79,79,66,82,93,93,86,80,84,79,77,75,61,78,55,21,81,80,71,75,45,25,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84
26,233419,24,176,68,0,4,4,91.0,76.0,76.0,84.0,49.0,72.0,78,74,45,76,72,86,81,75,70,83,90,91,88,82,79,81,74,84,64,76,76,55,81,77,73,78,45,54,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83
27,45186,39,179,75,1,3,4,68.0,80.0,84.0,81.0,44.0,55.0,84,83,65,84,68,84,86,77,83,83,65,70,69,84,69,80,31,42,64,78,55,35,84,85,75,81,41,47,39,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,81
28,187754,33,174,76,0,3,5,79.0,76.0,78.0,86.0,47.0,68.0,75,76,53,80,68,87,82,72,73,88,77,80,85,75,84,77,66,70,72,78,58,51,72,82,80,84,45,46,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,81
29,197965,31,177,72,1,4,3,75.0,77.0,81.0,82.0,64.0,66.0,80,77,45,82,78,82,83,77,81,84,78,73,77,83,77,76,67,78,59,77,67,72,84,83,78,84,67,67,52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,81
30,199564,29,178,68,1,3,4,76.0,63.0,80.0,77.0,76.0,73.0,82,63,70,81,50,78,78,60,78,80,73,79,69,78,73,65,42,92,69,66,67,77,69,82,57,76,75,77,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
31,200949,28,174,70,1,4,4,90.0,79.0,70.0,86.0,43.0,68.0,70,79,65,72,70,88,71,71,66,82,93,88,93,79,92,85,95,75,57,75,78,50,78,70,74,81,31,43,44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81
32,205678,31,172,63,1,4,4,87.0,78.0,78.0,82.0,47.0,64.0,82,77,45,79,74,80,77,68,71,81,88,87,89,74,91,80,71,84,58,77,52,51,80,78,77,81,55,40,40,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
33,208330,26,186,76,0,4,4,79.0,75.0,80.0,83.0,30.0,58.0,81,77,42,81,70,86,80,73,76,81,83,75,84,79,75,74,61,70,58,76,41,36,78,81,60,78,30,23,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
34,208618,30,173,70,1,4,4,82.0,73.0,79.0,80.0,69.0,69.0,83,72,58,79,58,81,83,71,76,79,83,82,81,81,81,80,69,91,57,76,72,72,80,79,56,75,71,69,66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,81
35,210411,26,172,71,1,3,4,78.0,69.0,79.0,85.0,63.0,68.0,79,68,57,79,63,86,80,72,77,85,80,76,85,82,82,73,45,80,60,67,77,62,77,82,72,81,66,67,52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82
36,210463,28,174,74,1,4,4,88.0,80.0,75.0,83.0,38.0,70.0,79,82,51,76,57,83,65,78,71,81,90,86,92,75,93,84,81,71,68,81,72,38,79,75,72,79,40,35,24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81
37,216409,27,171,67,0,4,4,83.0,77.0,78.0,84.0,42.0,55.0,80,76,40,79,75,83,79,77,76,84,84,82,89,81,87,78,51,77,41,82,63,38,76,77,70,79,63,29,29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,81
38,220093,27,185,72,1,3,3,84.0,64.0,72.0,77.0,77.0,79.0,82,64,76,78,58,79,50,30,70,78,80,87,68,79,74,72,74,86,75,58,79,74,84,69,47,77,77,78,77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81
39,226110,26,183,73,0,2,4,88.0,79.0,75.0,83.0,36.0,65.0,77,79,57,76,70,85,81,79,66,81,88,88,88,77,79,81,66,77,68,78,43,33,77,76,85,77,36,34,30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82
40,226166,23,187,84,1,3,3,80.0,49.0,69.0,73.0,82.0,80.0,74,40,74,73,39,73,69,33,70,74,77,82,67,77,65,67,90,79,79,52,83,83,60,64,45,73,82,85,82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,73
41,234153,24,180,76,1,4,3,78.0,77.0,82.0,79.0,71.0,71.0,77,78,56,85,66,80,80,82,82,81,75,80,75,83,73,77,58,81,70,76,65,74,78,81,86,76,67,79,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
42,172522,32,181,74,1,3,3,74.0,77.0,80.0,77.0,76.0,76.0,79,75,69,80,69,76,78,84,81,80,73,75,73,80,71,85,68,87,73,80,74,79,76,78,61,77,76,76,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80
43,185020,34,178,73,1,4,3,77.0,76.0,76.0,81.0,48.0,59.0,82,75,65,80,84,80,73,65,60,85,76,78,84,70,80,78,68,73,53,76,54,54,78,78,62,79,60,32,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
44,189271,30,176,74,1,3,3,68.0,67.0,76.0,80.0,78.0,79.0,69,64,63,82,53,80,68,41,81,81,68,68,74,81,77,75,78,75,78,72,88,80,77,80,52,78,77,81,80,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
45,190972,30,173,71,1,4,5,86.0,76.0,73.0,84.0,57.0,68.0,73,76,72,75,72,85,79,64,66,83,88,84,86,77,78,79,83,75,63,72,68,60,83,74,76,84,48,59,55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80
46,203890,29,181,76,1,3,3,79.0,55.0,73.0,74.0,78.0,77.0,81,44,73,76,53,74,70,57,70,77,77,81,66,74,70,75,84,85,73,58,75,79,65,68,52,67,78,80,77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75
47,204970,28,179,70,0,3,4,79.0,79.0,79.0,80.0,41.0,68.0,80,78,70,82,74,80,83,72,75,82,82,76,85,82,68,82,76,79,67,80,56,42,81,78,78,76,46,29,31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80
48,209519,27,181,78,0,4,3,77.0,78.0,76.0,78.0,40.0,82.0,74,80,84,80,84,79,70,59,71,80,75,79,71,78,63,78,88,88,83,75,72,36,82,78,69,80,38,34,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,81
49,219953,29,173,68,1,4,4,83.0,77.0,78.0,79.0,55.0,72.0,81,76,60,80,65,79,77,75,75,79,84,83,83,77,82,84,63,84,66,77,76,53,77,77,77,76,55,54,55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80
50,225201,25,175,73,1,4,3,82.0,76.0,76.0,81.0,63.0,65.0,76,79,49,79,70,80,74,75,65,81,86,79,85,79,84,77,73,74,56,72,72,65,79,78,69,73,65,64,66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,81
51,225953,23,178,78,1,2,4,85.0,78.0,75.0,82.0,39.0,69.0,77,75,60,80,75,84,78,66,63,82,87,84,79,78,89,84,68,74,75,81,50,34,78,77,68,76,52,28,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81
52,230201,25,177,75,1,3,3,76.0,51.0,70.0,77.0,77.0,70.0,81,48,69,73,49,78,55,49,75,77,81,72,83,81,71,52,55,85,68,56,62,77,57,61,41,54,79,78,76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75
53,230767,23,176,70,1,4,4,84.0,74.0,77.0,84.0,72.0,84.0,72,67,61,81,68,84,69,68,79,83,86,83,85,80,89,89,84,87,83,78,84,75,74,79,68,83,73,74,65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83
54,240709,23,176,75,1,4,3,84.0,73.0,73.0,81.0,70.0,78.0,79,74,49,74,63,83,64,45,69,78,83,85,82,78,87,77,73,91,73,73,74,74,76,75,51,76,74,70,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,81
55,243576,21,176,71,1,3,3,80.0,67.0,73.0,79.0,75.0,75.0,80,61,66,75,53,79,65,67,71,82,76,83,78,78,71,81,59,83,73,74,74,76,75,68,46,78,74,78,75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
56,244369,23,178,72,0,4,4,85.0,73.0,78.0,80.0,45.0,57.0,77,75,45,80,68,80,72,76,73,81,84,85,82,78,73,70,50,74,49,74,57,39,75,80,73,76,62,36,37,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
57,246669,19,178,65,0,3,3,84.0,68.0,76.0,82.0,65.0,64.0,79,69,45,79,63,84,76,69,63,80,86,82,83,76,83,68,54,77,58,65,66,68,78,79,64,73,65,69,67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
58,173221,34,180,70,1,4,4,72.0,78.0,79.0,80.0,61.0,62.0,79,73,55,81,79,80,77,71,80,82,75,69,79,75,80,87,36,81,54,82,66,67,79,77,69,73,61,63,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
59,190717,31,178,82,1,3,4,83.0,76.0,73.0,78.0,55.0,83.0,75,79,84,75,70,79,66,60,72,76,79,87,80,80,78,79,91,76,86,68,83,45,80,74,75,70,51,56,53,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,79
60,193348,29,169,72,0,4,5,75.0,76.0,80.0,81.0,46.0,67.0,79,70,45,80,76,80,85,82,78,82,77,73,83,77,91,87,51,65,71,81,61,55,75,80,65,79,35,49,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,79
61,200315,29,178,65,1,4,4,89.0,75.0,74.0,80.0,48.0,62.0,75,77,47,74,75,83,82,78,70,78,88,90,79,73,79,81,71,72,61,70,48,39,78,71,56,71,55,49,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
62,202857,31,184,81,1,3,4,85.0,76.0,71.0,81.0,34.0,72.0,78,74,48,71,73,82,72,58,59,82,85,85,82,77,78,84,75,71,70,77,75,38,75,75,57,80,32,30,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
63,203299,30,182,78,1,4,4,87.0,75.0,73.0,82.0,38.0,70.0,77,74,70,74,78,85,78,55,69,82,85,88,81,75,62,77,73,73,75,74,53,38,76,73,68,76,32,36,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
64,206545,29,178,75,1,4,4,56.0,71.0,78.0,78.0,70.0,67.0,72,66,71,80,65,78,78,69,79,81,57,55,70,79,67,77,69,74,63,78,69,73,77,82,65,76,69,72,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77
65,210324,28,176,73,1,4,3,75.0,72.0,80.0,79.0,57.0,66.0,80,75,40,81,64,78,77,71,81,79,75,75,77,83,77,68,61,86,64,69,47,74,82,81,71,81,62,49,52,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
66,211022,27,171,71,0,2,4,80.0,76.0,79.0,79.0,45.0,58.0,80,79,56,80,59,79,77,79,79,80,87,74,81,73,86,76,65,68,52,78,58,38,74,78,69,67,45,48,41,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
67,211241,29,170,65,1,3,4,80.0,70.0,72.0,78.0,75.0,68.0,79,69,75,78,66,77,59,56,66,80,77,82,78,78,79,75,67,76,66,66,63,72,77,65,64,72,72,78,79,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78
68,212404,27,185,77,0,3,4,79.0,71.0,80.0,83.0,61.0,65.0,81,61,53,82,76,85,83,80,71,84,79,79,82,70,79,80,51,70,69,82,50,64,72,80,82,78,64,59,59,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,79
69,216150,29,182,75,1,3,3,76.0,66.0,73.0,74.0,75.0,71.0,81,59,69,75,69,76,74,59,68,74,75,76,71,73,68,75,65,79,66,72,75,76,68,68,59,73,74,77,78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
70,222501,25,180,80,1,3,3,78.0,57.0,71.0,76.0,75.0,70.0,79,59,69,75,40,77,58,33,70,78,77,78,71,78,66,62,72,84,64,52,68,78,77,69,27,68,77,75,72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78
71,226162,24,172,65,1,4,4,73.0,73.0,80.0,81.0,64.0,67.0,76,73,57,82,68,81,78,74,79,83,75,72,80,76,87,80,45,68,63,72,83,60,73,84,49,77,67,68,61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81
72,226456,25,178,67,1,3,4,68.0,74.0,79.0,79.0,69.0,68.0,77,72,50,81,72,79,71,70,78,83,70,66,76,75,75,77,48,81,63,79,70,71,76,80,55,77,70,72,71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
