,sofifa_id,age,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Low,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185),body_type_Stocky (185+),body_type_Unique,cm
15,186942,30,180,80,1,4,4,65.0,80.0,85.0,86.0,73.0,72.0,78,80,50,88,75,86,86,80,85,89,66,65,77,86,77,79,61,74,73,81,70,78,82,86,80,87,76,75,67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85
16,193747,29,176,75,1,4,3,70.0,75.0,85.0,81.0,79.0,80.0,85,72,61,86,56,80,85,76,84,83,72,69,73,88,82,83,59,93,75,80,79,83,83,86,67,86,82,81,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85
17,205498,29,180,68,1,3,3,55.0,67.0,86.0,81.0,73.0,73.0,75,64,56,92,71,79,75,76,89,87,61,50,77,82,72,71,58,87,66,62,79,81,69,88,91,81,67,81,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85
18,223848,26,191,76,1,5,4,68.0,79.0,80.0,81.0,79.0,86.0,64,80,86,85,74,84,80,78,85,86,66,70,62,83,63,83,85,91,87,80,79,78,79,82,56,84,78,79,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,87
19,226790,24,183,74,1,4,3,67.0,62.0,69.0,74.0,87.0,83.0,53,50,72,78,68,72,60,60,75,77,65,68,69,88,66,80,90,90,78,70,87,90,67,67,57,80,87,90,85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
20,181291,30,175,74,1,4,4,77.0,75.0,80.0,86.0,79.0,79.0,72,75,78,87,73,85,78,73,81,88,78,76,84,86,88,78,81,93,74,73,75,80,79,79,74,86,79,80,70,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84
21,183711,31,182,80,1,3,3,66.0,74.0,83.0,79.0,78.0,81.0,82,73,65,85,71,78,80,74,87,83,67,66,69,85,68,77,78,86,78,75,83,81,78,80,64,82,79,81,76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84
22,184134,33,183,76,1,3,3,66.0,62.0,75.0,74.0,83.0,82.0,62,54,74,84,56,71,65,53,79,78,65,67,70,83,62,76,76,82,81,68,85,85,59,76,54,78,84,85,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
23,198706,28,183,74,1,3,4,60.0,76.0,86.0,84.0,57.0,59.0,69,77,49,92,76,85,86,79,90,91,61,59,69,74,83,78,53,75,64,76,29,59,76,92,56,78,58,58,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84
24,204923,27,178,76,1,4,3,78.0,84.0,81.0,80.0,67.0,78.0,74,81,60,84,82,79,76,78,81,82,75,81,75,86,80,88,71,85,76,88,77,66,83,83,72,80,71,70,59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85
25,216352,28,181,68,1,4,3,69.0,74.0,80.0,79.0,79.0,78.0,72,69,70,85,65,76,79,74,84,84,70,68,79,76,84,80,70,94,67,84,85,81,70,80,69,82,77,81,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84
26,216393,24,176,72,1,5,4,63.0,79.0,86.0,80.0,71.0,72.0,82,74,67,89,78,79,81,78,88,85,67,59,67,83,77,87,66,81,69,86,68,74,80,87,73,86,70,73,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,86
27,224232,24,172,68,1,3,3,78.0,71.0,79.0,86.0,75.0,78.0,69,69,53,86,75,83,75,67,79,87,80,76,91,89,90,69,78,95,69,72,79,84,83,83,73,85,74,75,79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87
28,230938,24,183,88,1,4,3,78.0,74.0,74.0,80.0,82.0,87.0,66,67,68,83,60,78,58,48,75,84,76,79,72,81,79,84,72,94,86,78,84,84,74,76,89,84,85,84,78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83
29,235790,22,188,82,0,4,4,82.0,78.0,79.0,84.0,45.0,66.0,72,81,78,84,80,86,84,53,78,85,77,86,78,83,75,74,75,77,69,77,42,38,82,81,73,84,39,46,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81
30,237692,21,171,69,0,3,4,84.0,78.0,80.0,87.0,56.0,57.0,75,79,47,84,59,86,73,59,78,88,86,82,90,83,91,82,49,79,44,77,64,59,82,84,64,82,58,59,47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84
31,177413,32,186,81,1,4,4,61.0,72.0,81.0,79.0,82.0,79.0,69,71,84,90,77,78,71,68,83,81,60,61,71,85,70,75,78,76,82,71,75,83,73,79,76,90,82,80,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83
32,187961,32,183,80,1,4,4,72.0,81.0,77.0,81.0,80.0,85.0,67,83,85,82,75,82,66,75,76,83,73,71,72,82,85,83,92,91,82,80,81,80,83,82,71,81,80,79,75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83
33,190286,30,176,65,0,3,4,83.0,80.0,85.0,82.0,67.0,71.0,81,79,50,84,67,82,85,84,87,83,85,82,83,83,79,78,38,80,71,84,68,77,85,89,80,80,64,71,58,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83
34,199914,30,175,74,1,3,4,72.0,71.0,77.0,82.0,80.0,79.0,72,73,56,83,56,81,68,49,80,82,77,68,78,84,86,73,64,92,70,69,89,78,77,77,53,85,82,87,82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83
35,207410,27,176,80,1,4,4,70.0,69.0,83.0,88.0,69.0,70.0,73,61,42,90,76,89,79,70,82,89,77,65,87,81,84,79,75,79,63,75,77,74,72,84,59,81,70,73,66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84
36,209989,28,185,77,1,3,3,69.0,71.0,82.0,81.0,80.0,84.0,74,66,68,87,56,84,69,70,85,83,63,74,75,82,50,86,83,83,84,78,84,81,70,85,49,86,80,84,80,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,83
37,213565,25,171,66,0,3,4,82.0,76.0,82.0,86.0,59.0,63.0,83,75,54,83,76,88,85,81,76,86,84,80,88,81,82,79,69,76,55,77,63,66,80,83,68,79,55,59,63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83
38,213648,25,185,84,1,4,3,60.0,71.0,76.0,76.0,81.0,82.0,66,65,65,83,60,76,70,74,80,80,58,61,65,82,64,84,65,88,78,79,87,82,65,73,51,82,84,84,72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81
39,225193,25,189,83,0,3,3,74.0,78.0,81.0,82.0,82.0,81.0,77,79,81,84,58,83,80,69,82,84,73,75,76,84,72,84,81,84,79,78,81,84,78,83,58,80,80,84,76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,85
40,230658,24,171,73,1,3,4,69.0,67.0,83.0,88.0,72.0,70.0,79,59,51,88,69,87,83,60,85,90,71,67,85,84,90,76,69,79,66,74,70,76,74,80,69,88,74,73,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85
41,233064,22,178,70,1,4,3,74.0,79.0,84.0,83.0,55.0,65.0,82,79,59,86,75,82,81,83,83,85,77,71,80,84,76,81,54,86,54,82,68,59,81,83,60,84,54,57,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84
42,239053,22,182,78,1,4,3,86.0,74.0,78.0,79.0,77.0,80.0,66,69,59,85,70,79,70,66,84,82,82,90,76,84,68,80,62,86,79,81,81,81,76,80,59,82,79,80,76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84
43,168651,33,184,78,1,4,3,57.0,79.0,85.0,78.0,75.0,69.0,84,77,59,85,81,79,88,82,86,82,59,56,69,80,59,84,33,74,71,76,67,79,79,84,82,80,76,77,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82
44,178562,33,174,75,1,4,4,62.0,75.0,84.0,82.0,76.0,71.0,80,71,55,84,65,83,83,81,87,84,63,61,76,82,80,77,49,74,67,81,83,79,75,85,79,80,79,77,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82
45,180206,31,178,72,1,4,3,65.0,68.0,83.0,81.0,75.0,67.0,80,56,60,84,72,81,86,92,82,83,67,64,74,83,80,78,59,79,60,80,70,78,68,84,79,84,78,77,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82
46,188152,29,179,70,1,3,4,78.0,79.0,82.0,82.0,59.0,67.0,81,78,59,85,72,81,77,78,84,83,82,74,87,78,86,80,76,84,60,82,60,52,81,78,70,79,66,59,55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
47,189242,29,172,68,1,4,5,69.0,79.0,80.0,88.0,52.0,59.0,78,75,48,80,78,89,90,86,77,89,74,65,89,80,92,82,58,74,52,86,59,49,80,82,70,79,55,54,47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82
48,190460,29,181,76,1,5,4,62.0,78.0,88.0,81.0,53.0,52.0,86,73,52,89,80,77,89,87,90,90,63,62,72,79,81,84,49,59,52,85,46,56,74,86,67,87,59,57,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82
49,192318,29,177,71,1,4,4,68.0,75.0,83.0,84.0,55.0,69.0,82,75,47,85,85,84,81,72,82,88,69,67,76,82,83,75,58,75,71,68,59,66,79,86,79,87,64,42,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82
50,193474,31,174,66,1,3,3,69.0,62.0,71.0,78.0,83.0,77.0,60,54,69,80,32,76,60,66,76,79,70,69,79,81,82,80,86,85,69,68,83,86,69,68,55,79,82,87,83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
51,197781,29,176,79,1,3,4,66.0,75.0,80.0,88.0,59.0,59.0,78,76,55,81,67,91,88,76,80,90,70,62,81,75,90,69,60,59,59,78,58,61,77,81,74,83,58,64,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82
52,199823,28,179,70,1,3,4,68.0,74.0,83.0,82.0,71.0,72.0,81,73,65,84,66,83,85,78,82,85,70,66,74,80,80,76,61,82,71,76,63,71,76,86,69,83,72,75,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
53,201519,28,177,67,1,3,3,77.0,75.0,77.0,79.0,77.0,81.0,69,69,59,85,72,76,69,71,80,82,84,72,76,79,81,83,74,85,79,80,84,77,69,74,85,82,79,81,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,81
54,208333,27,186,86,1,4,3,78.0,78.0,78.0,80.0,84.0,87.0,69,76,82,83,71,82,77,64,83,79,67,87,72,81,75,85,87,88,86,81,88,84,76,79,60,79,81,87,86,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,83
55,208421,26,184,75,0,4,3,71.0,78.0,78.0,79.0,78.0,79.0,69,76,83,84,76,80,73,60,82,82,69,72,73,80,68,82,80,86,77,80,76,79,80,81,68,81,77,78,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84
56,208461,30,185,76,1,3,3,66.0,68.0,71.0,73.0,82.0,83.0,68,60,75,78,64,71,61,48,75,76,64,68,61,82,73,76,80,92,77,77,85,84,67,69,80,81,82,84,81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,79
57,212616,27,180,70,1,3,4,78.0,76.0,80.0,82.0,71.0,79.0,69,76,50,85,70,81,84,73,81,85,81,76,78,81,79,80,67,86,81,78,69,74,78,80,65,80,68,79,69,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83
58,220697,24,175,73,1,4,4,75.0,78.0,84.0,84.0,54.0,60.0,81,75,35,84,70,84,85,84,82,86,78,72,86,76,83,83,54,74,51,80,68,44,80,87,74,84,59,65,42,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
59,222077,23,185,75,1,4,3,61.0,72.0,79.0,77.0,79.0,79.0,70,69,68,85,64,78,68,64,83,80,62,60,69,83,60,77,65,89,78,80,72,79,73,82,60,77,80,82,74,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84
60,222665,22,178,68,0,2,5,77.0,74.0,83.0,84.0,58.0,62.0,84,73,52,83,73,85,81,83,81,85,80,75,85,74,83,76,46,78,56,77,63,65,76,86,63,76,65,49,51,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
61,224293,24,180,80,1,4,3,59.0,75.0,85.0,77.0,74.0,73.0,78,66,53,88,82,76,85,84,85,82,64,54,68,80,73,86,67,79,67,84,83,78,65,86,76,84,76,77,70,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83
62,226271,25,189,70,0,3,4,63.0,78.0,79.0,82.0,74.0,71.0,72,79,67,83,67,83,75,59,80,86,67,60,71,82,67,77,46,87,67,83,68,76,81,82,67,77,70,78,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,84
63,229391,25,190,82,1,4,2,60.0,65.0,70.0,72.0,85.0,88.0,59,62,79,76,54,74,61,45,78,76,57,62,60,77,44,76,81,87,88,67,89,83,67,71,56,82,85,87,86,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78
64,234378,22,185,80,1,3,2,66.0,53.0,71.0,74.0,81.0,79.0,50,42,71,82,40,75,58,53,80,79,64,68,53,77,61,70,74,84,76,60,82,83,54,75,71,80,80,83,80,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78
65,234943,24,185,74,1,4,3,64.0,72.0,79.0,82.0,66.0,67.0,68,70,51,85,63,83,77,41,88,84,72,57,80,82,78,75,54,81,65,81,60,72,70,84,49,78,67,67,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84
66,235569,24,179,76,1,3,4,71.0,72.0,81.0,88.0,69.0,72.0,75,70,56,85,62,89,76,62,81,87,73,69,84,81,91,80,60,69,74,75,73,72,72,87,60,87,66,74,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83
67,236792,26,192,86,1,3,3,64.0,72.0,74.0,74.0,82.0,85.0,69,73,83,81,59,74,63,53,76,77,61,66,66,81,58,73,90,92,84,70,76,83,75,72,70,78,81,82,79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
68,156519,31,185,78,1,4,3,70.0,75.0,76.0,76.0,78.0,84.0,65,72,61,81,59,76,69,68,79,78,71,70,73,81,68,81,77,93,80,78,84,82,82,78,67,77,81,82,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81
69,181872,34,180,75,1,4,3,65.0,79.0,79.0,79.0,82.0,82.0,76,75,81,81,78,76,76,68,79,83,66,65,81,81,77,84,82,78,80,81,92,82,78,80,81,80,80,84,83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81
70,190674,30,180,74,1,3,3,67.0,64.0,74.0,75.0,80.0,85.0,72,61,80,79,56,75,68,46,77,76,65,69,72,79,73,69,93,93,79,65,87,84,70,75,66,78,77,83,76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
71,193283,29,182,79,0,4,2,75.0,71.0,74.0,74.0,83.0,82.0,68,68,83,76,67,73,71,68,80,75,77,74,73,79,72,78,91,87,77,74,85,84,75,72,60,78,85,81,84,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
72,195365,30,178,66,1,4,3,70.0,67.0,81.0,85.0,63.0,62.0,72,62,34,87,68,85,80,75,78,84,79,62,90,82,82,69,67,86,47,74,66,75,72,82,64,84,66,63,59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81
