,sofifa_id,age,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185),body_type_Stocky (185+),lwb
12,209846,28,184,83,0,2,3,83.0,55.0,70.0,70.0,74.0,81.0,84,49,66,69,39,72,75,68,64,69,77,88,64,77,64,73,53,87,80,54,84,75,65,59,44,71,73,76,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,79
13,224031,28,185,85,1,4,3,86.0,66.0,67.0,74.0,75.0,79.0,76,56,76,71,68,75,76,48,55,76,84,88,64,76,77,79,81,82,79,77,74,74,69,60,58,69,74,75,75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,79
14,237942,23,175,78,0,3,3,82.0,34.0,68.0,72.0,75.0,75.0,79,20,75,78,38,73,59,36,62,71,81,83,76,71,70,41,69,79,74,42,74,75,52,56,69,62,69,80,79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,79
15,152908,35,175,65,1,3,4,72.0,66.0,74.0,77.0,73.0,68.0,79,63,66,77,74,78,85,75,65,77,79,67,75,78,76,74,68,68,62,63,83,75,69,68,60,79,73,73,72,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
16,173306,34,181,76,1,5,4,77.0,64.0,76.0,77.0,72.0,70.0,78,57,63,79,68,75,80,47,76,81,77,77,76,75,69,73,69,76,64,69,78,69,71,75,52,81,69,79,79,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78
17,184392,31,182,70,1,5,3,70.0,58.0,69.0,74.0,78.0,68.0,74,55,68,74,59,72,69,35,68,74,70,70,77,79,77,69,67,75,62,56,74,78,69,65,45,78,78,80,78,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78
18,210736,26,176,79,0,2,3,80.0,63.0,70.0,78.0,75.0,63.0,78,51,60,77,51,79,53,71,66,80,83,78,75,75,76,80,67,70,57,77,69,78,72,57,55,72,77,77,76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,79
19,217036,28,179,68,0,3,3,88.0,60.0,71.0,77.0,71.0,64.0,75,59,60,73,65,78,69,57,64,75,87,89,85,74,78,61,62,91,51,56,63,70,73,73,70,60,71,74,72,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78
20,221832,26,175,70,0,3,3,77.0,71.0,74.0,74.0,74.0,72.0,78,65,65,77,55,72,76,80,64,78,78,77,69,67,78,81,68,78,70,78,70,73,77,69,65,72,69,80,79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78
21,230183,21,186,73,0,5,3,79.0,67.0,71.0,71.0,74.0,78.0,76,54,77,77,71,71,81,77,67,72,77,80,68,72,58,84,78,89,67,77,94,67,57,56,77,77,74,77,75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78
22,252145,19,176,70,0,4,3,85.0,57.0,68.0,74.0,74.0,72.0,74,45,67,71,54,72,66,59,68,75,82,88,82,76,76,80,71,81,69,63,67,75,72,59,45,75,73,76,73,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78
23,200536,28,181,83,0,2,3,86.0,51.0,72.0,73.0,72.0,77.0,77,48,60,73,49,73,59,42,73,73,82,90,71,75,73,65,63,77,79,40,75,76,72,75,56,74,72,73,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77
24,212491,27,179,70,0,2,4,80.0,63.0,72.0,79.0,70.0,70.0,78,55,63,75,61,82,72,48,69,78,77,82,77,74,79,75,70,78,67,71,65,69,65,71,49,75,66,75,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77
25,215160,27,184,84,0,3,3,80.0,68.0,74.0,74.0,70.0,79.0,81,63,61,73,69,74,79,63,75,71,78,82,82,74,70,78,60,90,77,69,77,72,71,68,65,74,69,72,72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78
26,228302,25,184,73,0,2,3,78.0,72.0,70.0,75.0,73.0,77.0,75,72,66,72,63,76,74,57,68,75,78,78,77,75,64,78,67,83,76,69,72,72,75,66,64,64,72,76,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
27,231554,23,183,80,1,4,3,82.0,50.0,69.0,73.0,73.0,70.0,73,53,65,72,42,73,60,60,65,74,78,85,72,74,70,54,64,77,68,40,66,70,66,67,43,66,73,77,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77
28,243388,23,187,79,0,2,3,79.0,43.0,75.0,75.0,71.0,69.0,86,36,64,74,35,76,75,55,72,76,78,79,72,74,68,58,67,78,67,44,65,71,64,73,31,69,71,72,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,77
29,201389,28,185,78,0,3,3,75.0,65.0,74.0,73.0,72.0,69.0,80,58,62,75,46,73,68,60,75,75,74,76,71,74,72,79,72,72,66,72,74,74,69,69,64,70,74,73,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76
30,203741,29,180,70,0,5,3,85.0,51.0,72.0,74.0,67.0,75.0,76,45,64,72,35,74,68,45,70,76,83,86,79,73,66,62,65,84,71,51,75,68,74,75,45,67,67,68,68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,76
31,209744,32,173,74,0,4,3,83.0,51.0,70.0,73.0,68.0,78.0,80,44,56,71,42,75,69,41,67,73,82,83,77,75,62,59,76,84,74,55,82,70,68,66,49,59,68,68,72,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,76
32,226268,23,175,75,0,2,3,75.0,61.0,75.0,74.0,70.0,62.0,82,50,58,75,77,74,82,75,73,76,77,73,72,67,84,65,51,77,54,72,65,75,72,66,66,59,67,72,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,76
33,240915,21,185,79,0,3,2,78.0,57.0,68.0,74.0,71.0,66.0,77,49,71,75,35,76,60,59,61,76,78,78,74,72,63,71,73,71,62,65,67,70,68,54,44,62,67,75,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76
34,178424,34,176,70,0,3,4,71.0,69.0,74.0,75.0,72.0,69.0,80,56,73,74,69,75,82,80,72,77,70,72,71,73,70,87,61,73,65,83,74,74,70,66,61,72,70,73,70,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75
35,190059,29,182,74,1,4,3,75.0,73.0,73.0,73.0,71.0,75.0,77,72,68,71,57,73,75,66,72,74,74,75,72,74,67,77,57,77,76,76,72,74,73,75,62,72,69,72,68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75
36,206594,26,180,77,0,2,3,73.0,67.0,73.0,77.0,67.0,62.0,79,64,48,74,56,79,74,64,67,76,75,72,76,73,77,74,46,76,60,72,55,65,71,72,55,71,68,72,67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
37,207707,32,178,72,0,3,3,71.0,56.0,71.0,72.0,75.0,71.0,72,52,64,77,44,70,65,55,73,75,69,72,69,74,69,73,74,60,71,54,85,77,60,65,49,72,76,76,77,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75
38,207993,28,183,82,0,2,3,75.0,62.0,68.0,71.0,71.0,86.0,72,57,66,71,55,74,61,42,62,72,69,79,60,71,55,79,75,75,90,58,90,69,71,71,54,66,70,73,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,74
39,209289,27,170,70,0,3,3,75.0,59.0,75.0,72.0,70.0,60.0,79,65,73,80,42,70,65,51,76,76,78,73,71,72,79,58,61,63,61,50,55,65,72,70,50,65,64,75,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75
40,215449,25,185,81,0,3,3,78.0,77.0,76.0,73.0,64.0,71.0,85,72,52,73,73,73,87,88,70,73,76,79,76,73,74,88,49,77,69,82,74,60,72,70,74,72,65,69,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74
41,221053,27,174,79,0,3,3,81.0,57.0,67.0,72.0,68.0,75.0,74,53,63,69,51,74,62,54,65,73,80,82,70,71,69,65,58,83,73,53,73,66,72,60,58,63,65,73,73,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75
42,229453,24,183,78,0,4,4,76.0,66.0,70.0,77.0,64.0,69.0,75,63,57,70,60,79,70,63,61,77,77,75,76,72,73,73,53,86,64,71,63,67,66,73,49,72,62,68,63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74
43,230186,37,177,73,0,3,2,70.0,49.0,68.0,65.0,74.0,71.0,73,45,68,70,41,61,45,46,69,69,69,70,67,72,72,55,69,79,64,52,79,70,51,70,51,68,78,77,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74
44,230341,25,182,81,0,3,2,73.0,44.0,64.0,65.0,75.0,73.0,74,41,70,72,46,63,51,52,61,68,70,75,61,72,58,44,47,72,76,42,71,74,61,49,53,65,75,76,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75
45,231591,26,172,70,0,2,3,77.0,54.0,72.0,74.0,69.0,67.0,77,50,76,78,49,76,69,70,69,70,77,77,76,72,75,63,63,77,65,56,61,68,64,60,48,68,62,73,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75
46,235172,22,174,67,0,2,4,86.0,55.0,71.0,78.0,65.0,63.0,77,52,54,72,47,78,68,59,64,75,87,86,84,74,82,64,52,74,58,48,63,67,73,72,58,74,66,67,65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
47,235883,21,178,71,0,3,4,82.0,65.0,70.0,76.0,68.0,66.0,75,68,55,75,55,74,71,31,62,78,85,80,79,74,84,67,66,76,60,55,67,70,76,72,61,76,69,70,63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
48,246113,23,176,69,0,3,3,89.0,60.0,69.0,75.0,69.0,69.0,74,60,60,73,50,75,71,35,69,75,89,89,81,73,74,67,62,74,63,57,78,70,70,65,40,70,71,70,69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
49,169324,35,175,73,0,3,3,70.0,63.0,70.0,73.0,70.0,70.0,75,53,57,70,70,71,73,70,68,73,72,69,80,70,80,74,60,86,64,72,65,72,70,64,50,75,70,73,70,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74
50,186395,31,172,76,0,4,4,65.0,73.0,75.0,76.0,65.0,69.0,78,69,39,75,75,77,78,71,72,76,68,62,67,74,81,76,70,75,60,77,82,68,74,73,72,73,67,69,67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74
51,189172,31,180,74,0,2,3,74.0,71.0,73.0,72.0,47.0,66.0,77,74,46,72,58,72,70,73,71,71,73,74,79,71,72,72,75,73,61,66,65,49,74,72,77,68,55,40,45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65
52,192546,30,183,78,0,2,3,71.0,45.0,66.0,72.0,70.0,73.0,76,43,56,69,24,74,70,53,58,72,69,72,66,70,66,57,65,81,73,38,63,71,57,57,52,65,72,74,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74
53,203505,27,173,75,0,4,3,78.0,64.0,69.0,69.0,69.0,75.0,75,61,67,68,45,66,70,62,67,68,79,77,79,67,86,72,90,83,72,67,69,73,66,66,61,64,65,71,71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74
54,209620,26,180,72,0,3,3,77.0,53.0,66.0,73.0,70.0,72.0,74,52,67,70,41,73,70,23,67,74,75,78,74,73,72,61,74,68,73,48,74,72,63,59,42,69,68,71,71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
55,214026,28,185,73,0,2,3,91.0,65.0,70.0,71.0,68.0,72.0,75,62,55,72,43,72,74,64,69,73,90,91,72,66,59,80,75,71,71,61,73,71,69,65,60,70,64,72,70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74
56,215148,31,170,62,0,2,3,76.0,46.0,72.0,70.0,68.0,65.0,82,44,59,74,35,70,80,38,71,69,72,80,67,73,77,50,76,74,58,45,67,72,59,66,47,66,65,70,72,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
57,215322,27,179,72,0,3,3,72.0,60.0,67.0,72.0,71.0,76.0,71,48,55,70,62,72,71,70,63,73,74,71,73,71,70,79,70,79,72,69,82,70,66,60,55,67,74,73,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74
58,222875,26,180,73,0,4,3,84.0,62.0,67.0,75.0,68.0,71.0,71,61,58,69,55,77,62,44,66,75,82,86,76,70,71,66,82,76,68,63,67,72,69,68,41,73,63,72,68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74
59,224494,23,170,66,0,2,3,91.0,40.0,60.0,73.0,67.0,70.0,67,40,37,67,33,69,48,39,50,72,92,91,89,71,90,43,92,80,61,34,76,72,65,54,43,64,68,72,68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
60,225706,28,175,62,0,3,3,69.0,52.0,74.0,75.0,69.0,72.0,76,37,51,76,49,76,75,64,73,76,72,67,69,71,73,71,69,78,66,64,79,71,70,69,49,74,68,74,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74
61,231247,24,179,82,0,3,3,81.0,64.0,72.0,73.0,70.0,75.0,76,58,58,72,59,75,83,66,70,74,79,83,82,67,60,82,80,89,70,65,70,68,59,66,55,58,75,72,62,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,76
62,232223,25,179,68,0,3,3,83.0,57.0,69.0,72.0,69.0,74.0,76,49,53,69,39,71,73,68,66,72,87,80,78,72,73,69,74,77,71,64,76,68,69,64,54,67,69,73,71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75
63,235026,23,174,74,0,2,3,81.0,46.0,60.0,73.0,69.0,63.0,63,56,53,68,34,71,55,34,53,74,84,79,82,68,80,43,71,80,48,31,77,69,56,54,36,62,66,74,75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
64,236295,24,178,68,0,3,3,64.0,47.0,71.0,74.0,71.0,64.0,78,36,63,79,40,73,76,51,60,75,72,57,76,73,71,64,61,76,60,55,59,77,59,61,46,72,70,70,71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
65,236457,25,178,71,0,2,3,82.0,48.0,65.0,70.0,70.0,67.0,73,42,62,67,44,70,67,40,65,69,80,83,76,68,75,68,61,80,60,38,70,69,64,59,47,65,69,73,73,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
66,236636,24,186,74,1,5,3,72.0,52.0,67.0,68.0,72.0,72.0,72,53,72,71,47,66,60,48,69,69,72,72,70,73,62,59,74,74,74,42,62,74,62,61,52,68,72,72,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74
67,190885,30,180,78,1,3,3,68.0,60.0,70.0,71.0,70.0,70.0,72,52,65,73,43,70,67,66,64,72,67,68,71,72,69,72,64,75,69,68,69,68,65,68,55,72,71,73,71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
68,193148,31,177,69,0,3,3,71.0,61.0,66.0,71.0,68.0,69.0,71,60,43,70,52,70,50,47,69,70,72,71,79,67,75,60,66,86,64,68,61,70,69,62,43,68,70,73,70,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
69,194359,34,170,68,1,4,2,70.0,49.0,65.0,69.0,72.0,65.0,66,46,61,72,45,65,64,36,63,69,71,70,82,70,88,51,78,75,58,53,67,74,67,59,44,66,70,75,73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
70,201955,28,179,76,0,3,3,77.0,51.0,62.0,70.0,68.0,78.0,68,42,62,67,37,69,52,58,57,71,75,79,70,69,73,79,81,82,77,45,74,67,56,53,55,70,68,71,70,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,73
71,206219,28,180,79,0,3,2,75.0,40.0,60.0,63.0,69.0,73.0,73,34,63,65,30,58,59,31,58,70,78,73,69,71,56,57,69,79,71,39,71,67,35,45,48,54,70,71,70,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,73
72,207537,26,177,86,0,3,3,85.0,61.0,68.0,73.0,68.0,79.0,77,54,62,71,57,75,63,46,66,70,88,83,73,71,78,75,83,72,84,65,74,68,67,62,53,76,64,72,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73
73,211844,26,183,79,0,3,3,72.0,63.0,72.0,70.0,68.0,72.0,77,56,69,69,59,70,75,69,72,72,69,74,72,68,67,74,82,82,68,66,67,66,65,70,65,68,66,71,70,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,73
74,212183,32,175,67,0,3,3,75.0,55.0,65.0,68.0,69.0,69.0,73,43,61,62,66,62,72,58,65,72,77,73,82,72,74,74,82,84,64,61,61,72,62,60,39,64,64,74,69,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
75,212244,26,180,75,0,3,3,71.0,42.0,66.0,69.0,72.0,68.0,69,35,59,73,31,67,65,60,62,71,68,74,69,69,72,55,69,70,68,45,65,73,49,55,35,71,74,75,70,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,73
76,213750,27,180,69,0,3,3,78.0,66.0,71.0,74.0,60.0,68.0,74,63,37,73,61,76,67,72,64,74,76,79,72,70,77,77,49,72,70,68,64,64,70,72,44,62,60,66,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71
