,sofifa_id,age,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185),body_type_Stocky (185+),body_type_Unique,rwb
10,227928,27,177,69,1,3,4,82.0,57.0,68.0,81.0,75.0,75.0,76,50,58,75,42,81,61,30,65,79,81,83,87,79,79,74,81,84,67,60,81,76,72,62,38,79,75,79,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80
11,243576,21,176,71,1,3,3,80.0,67.0,73.0,79.0,75.0,75.0,80,61,66,75,53,79,65,67,71,82,76,83,78,78,71,81,59,83,73,74,74,76,75,68,46,78,74,78,75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80
12,244470,28,175,76,1,3,3,77.0,56.0,73.0,75.0,78.0,81.0,81,50,70,75,61,73,75,42,73,76,76,77,74,78,84,66,84,86,76,59,86,76,69,69,49,72,78,81,78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80
13,173221,34,180,70,1,4,4,72.0,78.0,79.0,80.0,61.0,62.0,79,73,55,81,79,80,77,71,80,82,75,69,79,75,80,87,36,81,54,82,66,67,79,77,69,73,61,63,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75
14,216150,29,182,75,1,3,3,76.0,66.0,73.0,74.0,75.0,71.0,81,59,69,75,69,76,74,59,68,74,75,76,71,73,68,75,65,79,66,72,75,76,68,68,59,73,74,77,78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
15,224031,28,185,85,1,4,3,86.0,66.0,67.0,74.0,75.0,79.0,76,56,76,71,68,75,76,48,55,76,84,88,64,76,77,79,81,82,79,77,74,74,69,60,58,69,74,75,75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,79
16,172962,30,177,79,1,4,4,76.0,69.0,74.0,80.0,70.0,70.0,76,67,69,76,64,82,75,61,70,81,77,76,75,74,79,74,66,78,68,69,66,71,73,72,75,75,70,71,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77
17,184392,31,182,70,1,5,3,70.0,58.0,69.0,74.0,78.0,68.0,74,55,68,74,59,72,69,35,68,74,70,70,77,79,77,69,67,75,62,56,74,78,69,65,45,78,78,80,78,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
18,201417,29,182,87,1,4,3,68.0,64.0,73.0,75.0,75.0,76.0,80,62,74,78,46,74,63,45,69,79,69,68,67,80,67,76,82,81,72,63,76,76,75,68,48,70,74,77,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
19,203605,29,182,81,1,2,3,74.0,43.0,73.0,73.0,72.0,79.0,83,28,76,74,57,71,57,52,68,77,78,70,66,81,67,66,81,83,77,41,78,70,72,72,54,76,72,71,78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
20,203747,26,178,74,1,2,3,83.0,51.0,69.0,77.0,73.0,65.0,74,52,60,76,41,77,63,50,59,77,82,84,78,76,77,52,64,75,58,43,72,76,67,66,62,70,74,74,76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
21,212213,28,173,65,1,4,4,74.0,67.0,75.0,78.0,70.0,69.0,78,65,56,78,60,77,79,51,68,80,75,74,77,75,82,69,75,88,59,64,68,69,77,75,78,81,66,76,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
22,213956,25,178,72,1,2,4,96.0,66.0,67.0,86.0,38.0,81.0,78,66,40,71,52,92,67,42,54,83,97,96,85,66,88,78,79,77,87,65,70,41,64,67,47,73,37,38,35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66
23,231340,24,175,70,1,3,3,86.0,53.0,70.0,74.0,73.0,81.0,72,41,71,76,41,71,59,39,66,75,87,85,82,75,71,65,80,93,73,59,87,73,77,70,75,75,73,73,73,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
24,193254,34,189,82,1,3,3,72.0,65.0,73.0,68.0,74.0,80.0,87,61,72,70,57,69,73,63,72,69,64,79,62,73,55,75,59,82,81,65,78,76,66,67,60,70,74,75,69,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77
25,194229,30,173,69,1,3,3,66.0,39.0,68.0,67.0,74.0,74.0,78,28,65,71,28,62,69,38,61,71,63,69,74,80,63,67,79,82,69,39,76,78,46,64,23,70,69,77,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77
26,195272,29,180,71,1,3,3,74.0,71.0,73.0,74.0,70.0,76.0,75,66,65,76,74,74,73,68,72,77,75,73,65,74,79,76,71,84,72,75,77,70,77,67,66,71,70,72,73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77
27,197083,33,182,80,1,4,3,66.0,74.0,78.0,75.0,71.0,76.0,85,73,63,76,71,75,80,79,73,75,67,66,74,77,67,76,77,82,75,74,72,72,75,75,80,74,71,73,68,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77
28,208004,29,184,75,1,4,2,64.0,49.0,66.0,69.0,79.0,76.0,70,50,74,74,38,66,40,34,73,72,64,64,66,77,66,60,78,75,74,41,82,79,55,55,42,78,78,82,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76
29,210282,31,178,72,1,2,3,84.0,64.0,69.0,75.0,70.0,69.0,73,53,60,73,71,75,69,59,66,77,77,90,79,68,75,78,68,80,65,68,65,72,74,63,70,70,68,74,73,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76
30,229971,25,182,75,1,2,2,81.0,51.0,70.0,72.0,70.0,79.0,76,42,61,72,49,72,65,47,66,74,79,82,71,71,73,64,75,93,75,54,73,70,72,69,50,71,72,72,71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
31,232999,22,175,72,1,3,3,81.0,48.0,70.0,73.0,74.0,75.0,55,48,65,80,33,70,52,42,74,73,78,83,79,77,85,51,84,86,68,46,78,74,65,74,51,76,74,77,69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76
32,234678,24,185,79,1,3,3,89.0,56.0,68.0,72.0,66.0,78.0,76,50,59,73,62,72,63,25,68,75,86,91,67,74,64,65,84,90,74,62,73,63,76,65,33,70,63,72,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77
33,236441,25,167,66,1,3,4,84.0,64.0,72.0,77.0,70.0,86.0,75,63,55,77,41,76,74,37,65,76,86,82,81,75,80,73,50,88,89,62,84,73,79,76,48,78,69,72,74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78
34,239093,28,178,67,1,3,3,85.0,66.0,70.0,76.0,67.0,71.0,78,66,58,72,56,76,66,54,63,76,86,84,84,75,71,75,64,89,64,65,67,68,72,68,42,68,64,72,70,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
35,183130,31,175,74,1,3,3,70.0,68.0,76.0,76.0,61.0,66.0,84,67,45,74,72,77,80,73,72,77,72,68,73,74,78,73,61,75,60,67,73,56,72,76,60,70,69,62,57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72
36,201118,29,172,67,1,4,3,76.0,63.0,70.0,75.0,72.0,66.0,70,54,65,75,50,75,66,64,69,76,78,75,73,74,81,76,72,75,57,70,75,74,71,63,60,69,68,76,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76
37,201982,31,179,80,1,3,3,77.0,63.0,76.0,76.0,69.0,75.0,83,57,58,75,63,77,85,87,69,76,75,78,76,76,79,75,66,79,74,66,77,73,67,69,62,72,68,69,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76
38,202429,27,187,85,1,3,3,73.0,56.0,66.0,70.0,75.0,82.0,71,51,71,64,54,70,66,49,64,71,76,70,65,73,66,68,81,88,80,55,79,71,70,68,40,69,74,79,75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,76
39,204105,29,178,78,1,3,3,78.0,62.0,74.0,72.0,72.0,74.0,78,59,66,74,44,73,75,71,74,74,78,78,67,73,70,73,71,82,71,54,74,73,73,69,78,70,74,72,72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76
40,205346,28,181,74,1,3,3,91.0,51.0,66.0,73.0,70.0,69.0,73,47,56,72,51,74,64,42,60,71,89,92,75,72,76,58,62,74,65,46,73,69,65,60,61,63,72,71,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76
41,227222,26,178,78,1,3,3,74.0,48.0,67.0,68.0,74.0,78.0,75,40,72,72,32,66,58,42,64,71,75,74,64,70,73,68,82,78,77,49,78,76,63,63,44,71,71,77,76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76
42,231390,24,178,68,1,4,4,85.0,72.0,70.0,79.0,68.0,72.0,74,69,60,69,67,79,78,74,55,78,83,86,81,76,80,77,71,78,66,74,78,69,74,77,67,75,68,69,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
43,235875,23,183,70,1,3,3,77.0,57.0,70.0,75.0,71.0,70.0,78,60,62,72,58,77,72,30,70,75,78,76,70,72,74,58,68,78,66,55,70,70,66,68,30,70,70,74,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76
44,194644,30,175,73,1,4,3,74.0,60.0,70.0,72.0,71.0,70.0,78,50,61,72,66,70,77,55,69,73,75,73,75,72,75,78,74,78,65,67,69,75,63,63,50,70,72,72,71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
45,201939,28,189,86,1,2,3,75.0,42.0,64.0,71.0,74.0,76.0,69,32,66,69,34,71,64,37,62,72,73,76,63,74,61,68,70,72,79,35,74,77,66,57,35,78,73,76,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75
46,205965,29,180,72,1,3,3,80.0,61.0,67.0,70.0,71.0,78.0,73,57,64,70,55,69,67,34,68,70,80,80,72,70,76,68,80,81,73,66,84,71,66,65,47,73,73,71,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75
47,221342,23,172,70,1,3,3,85.0,52.0,67.0,72.0,72.0,69.0,73,53,67,72,21,72,71,34,63,74,87,83,76,63,80,57,60,74,70,52,64,69,67,64,37,62,71,75,73,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75
48,224425,26,188,81,1,4,3,84.0,70.0,70.0,75.0,67.0,76.0,72,71,69,74,64,77,69,70,58,75,77,89,68,74,65,75,61,82,75,66,75,69,73,68,52,75,65,67,67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
49,225147,25,175,76,1,4,3,80.0,48.0,65.0,67.0,68.0,72.0,73,48,53,71,35,67,45,47,58,67,79,80,71,68,70,50,67,91,65,50,69,69,61,62,41,62,68,72,68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75
50,225782,23,177,71,1,3,4,81.0,63.0,70.0,77.0,71.0,72.0,69,58,50,75,44,78,64,36,68,76,79,83,79,75,71,72,55,82,69,66,69,73,72,73,69,76,71,77,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
51,233301,23,187,70,1,3,3,77.0,59.0,68.0,68.0,70.0,82.0,74,55,68,71,49,67,68,36,68,66,74,80,71,72,66,73,82,92,77,56,81,71,70,66,45,71,67,72,70,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75
52,238305,26,180,75,1,3,3,77.0,55.0,69.0,70.0,71.0,65.0,78,60,72,75,39,68,73,32,65,72,74,79,70,73,66,59,63,68,66,49,59,72,61,59,36,68,64,76,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
53,189484,30,187,77,1,3,3,66.0,57.0,70.0,72.0,73.0,67.0,74,46,65,74,57,73,74,43,69,73,61,70,68,76,57,71,73,63,67,68,70,74,63,64,57,76,76,71,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74
54,207920,29,183,72,1,3,3,74.0,56.0,66.0,69.0,70.0,69.0,71,53,60,72,43,68,63,35,60,71,76,72,69,72,67,65,74,76,65,53,70,70,68,62,55,69,71,72,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
55,210972,27,178,76,1,3,3,70.0,44.0,63.0,72.0,72.0,66.0,75,32,61,70,37,72,72,46,62,74,74,66,71,70,68,69,67,75,60,44,68,74,66,39,46,64,73,74,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75
56,213446,28,184,74,1,3,3,82.0,66.0,74.0,69.0,67.0,69.0,84,54,66,72,60,72,75,77,77,68,81,83,71,62,53,83,58,81,71,77,51,68,68,64,68,67,65,66,71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
57,224263,24,176,67,1,2,3,71.0,49.0,65.0,70.0,71.0,70.0,69,30,64,70,51,68,61,49,67,72,75,68,68,75,73,74,74,78,63,62,78,74,64,55,53,65,68,74,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
58,227873,25,183,81,1,3,3,79.0,57.0,67.0,73.0,72.0,72.0,74,62,70,69,30,75,70,35,65,74,69,87,65,70,66,66,74,69,75,45,66,70,67,65,40,69,69,75,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74
59,229359,32,175,74,1,3,3,73.0,58.0,73.0,70.0,71.0,73.0,77,58,65,74,54,67,68,59,72,73,72,74,71,68,73,61,62,80,72,53,69,70,65,73,63,66,71,72,71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74
60,233965,24,175,67,1,4,3,74.0,71.0,72.0,74.0,69.0,68.0,73,73,66,72,63,76,69,71,72,71,75,73,76,69,75,75,76,85,58,71,70,70,73,72,48,70,67,71,71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
61,235899,23,177,76,1,3,2,83.0,40.0,61.0,69.0,71.0,80.0,72,33,60,64,38,71,48,39,57,65,78,87,74,68,76,60,93,80,77,29,85,72,56,57,46,67,69,74,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74
62,236466,24,178,65,1,3,3,71.0,50.0,69.0,69.0,70.0,69.0,74,45,56,73,43,69,75,42,72,72,69,72,65,69,70,58,70,82,63,52,67,68,65,60,48,63,71,74,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
63,241867,25,176,75,1,3,3,78.0,74.0,66.0,75.0,42.0,62.0,72,76,58,71,57,77,43,41,65,78,77,78,71,66,69,77,40,67,69,73,43,37,72,63,61,66,36,46,44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,62
64,242418,20,163,62,1,3,2,87.0,44.0,66.0,75.0,67.0,52.0,74,47,58,71,32,75,60,35,62,70,92,83,82,70,95,48,59,72,33,36,72,66,55,59,40,69,68,70,70,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74
65,244591,20,178,69,1,3,3,81.0,54.0,66.0,73.0,69.0,68.0,72,55,55,68,34,74,60,38,65,72,81,81,76,67,73,61,71,75,65,51,67,69,74,65,34,71,70,72,68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
66,247832,22,176,69,1,4,3,91.0,46.0,65.0,73.0,67.0,69.0,74,40,58,67,47,74,74,42,60,71,89,92,77,71,70,52,74,73,67,51,68,66,64,58,46,70,67,69,71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74
67,169426,34,183,76,1,3,3,69.0,52.0,66.0,66.0,71.0,73.0,74,44,71,71,59,66,62,51,63,67,67,70,68,68,65,61,69,73,72,53,74,72,66,56,55,62,68,72,72,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,73
68,188135,32,180,69,1,3,3,67.0,66.0,69.0,73.0,70.0,71.0,72,57,69,73,53,71,64,60,67,79,69,66,73,71,65,79,74,74,70,80,68,69,67,63,59,68,67,73,73,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,73
69,190633,31,192,81,1,3,3,73.0,57.0,62.0,66.0,72.0,72.0,70,58,68,64,51,66,48,52,60,69,70,75,62,67,54,60,75,73,72,54,72,75,65,58,52,62,73,72,70,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,72
70,190885,30,180,78,1,3,3,68.0,60.0,70.0,71.0,70.0,70.0,72,52,65,73,43,70,67,66,64,72,67,68,71,72,69,72,64,75,69,68,69,68,65,68,55,72,71,73,71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
71,199131,30,176,75,1,3,3,74.0,52.0,66.0,69.0,68.0,77.0,72,51,35,69,64,68,62,42,64,69,67,79,71,74,67,52,58,92,72,50,77,70,69,65,35,72,74,71,68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,73
72,199313,31,182,72,1,3,2,78.0,41.0,65.0,65.0,70.0,72.0,68,28,65,69,49,60,58,49,66,70,81,75,76,68,65,50,77,77,71,53,65,70,59,58,38,61,68,72,74,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
73,200855,28,175,67,1,3,3,77.0,47.0,63.0,71.0,67.0,73.0,70,50,55,69,33,70,54,37,58,70,78,76,78,69,73,46,82,81,67,44,74,67,58,60,45,64,67,71,70,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,73
74,201136,29,180,76,1,4,3,75.0,34.0,63.0,69.0,70.0,74.0,71,23,63,64,35,68,71,39,66,70,74,75,73,70,68,60,91,78,71,26,72,69,59,56,41,65,69,72,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,73
