,sofifa_id,age,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Low,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185),body_type_Stocky (185+),body_type_Unique,rf
26,205070,29,167,66,1,4,3,90,78,77,79,59,79,78,81,77,77,74,78,80,64,76,80,89,90,83,81,82,82,75,88,74,74,82,55,83,79,53,77,55,61,59,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81
27,210935,26,183,72,0,3,4,79,80,81,85,36,69,77,80,62,85,78,83,78,75,79,88,81,77,90,77,82,83,65,70,63,80,85,26,79,81,76,78,42,30,30,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,82
28,227796,22,177,69,1,4,4,89,70,73,86,37,59,74,73,50,77,70,88,69,58,59,85,91,87,87,78,88,77,79,76,54,57,45,33,79,80,61,80,38,32,47,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,81
29,229906,23,178,77,0,4,4,93,78,74,84,33,64,74,79,57,73,74,86,79,79,66,82,93,93,86,80,84,79,77,75,61,78,55,21,81,80,71,75,45,25,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,82
30,233419,24,176,68,0,4,4,91,76,76,84,49,72,78,74,45,76,72,86,81,75,70,83,90,91,88,82,79,81,74,84,64,76,76,55,81,77,73,78,45,54,38,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82
31,241461,21,184,77,1,4,4,82,79,78,82,35,66,77,81,73,80,74,84,71,60,78,81,87,78,82,81,76,79,75,73,70,76,45,34,84,84,66,82,35,24,28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82
32,198710,29,180,75,0,3,4,53,86,86,86,50,60,89,84,62,84,90,86,89,86,85,90,55,51,78,83,76,86,46,55,64,91,60,55,80,84,81,87,52,41,44,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,81
33,200260,29,182,75,0,3,4,80,81,82,82,36,66,84,80,48,82,76,81,86,76,80,84,83,78,85,77,75,82,56,77,59,85,70,37,77,82,84,80,34,36,30,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,81
34,203551,30,173,67,1,4,3,76,77,79,80,76,62,77,73,70,83,85,75,73,72,77,85,79,74,86,77,82,82,73,82,50,81,66,77,69,81,74,81,76,76,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78
35,205678,31,172,63,1,4,4,87,78,78,82,47,64,82,77,45,79,74,80,77,68,71,81,88,87,89,74,91,80,71,84,58,77,52,51,80,78,77,81,55,40,40,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81
36,208330,26,186,76,0,4,4,79,75,80,83,30,58,81,77,42,81,70,86,80,73,76,81,83,75,84,79,75,74,61,70,58,76,41,36,78,81,60,78,30,23,22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,81
37,208618,30,173,70,1,4,4,82,73,79,80,69,69,83,72,58,79,58,81,83,71,76,79,83,82,81,81,81,80,69,91,57,76,72,72,80,79,56,75,71,69,66,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80
38,216201,27,186,80,1,2,4,94,78,72,78,37,81,76,77,73,74,74,81,76,53,66,76,93,94,78,82,62,85,88,83,82,77,75,21,85,73,64,81,42,34,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80
39,216409,27,171,67,0,4,4,83,77,78,84,42,55,80,76,40,79,75,83,79,77,76,84,84,82,89,81,87,78,51,77,41,82,63,38,76,77,70,79,63,29,29,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81
40,220093,27,185,72,1,3,3,84,64,72,77,77,79,82,64,76,78,58,79,50,30,70,78,80,87,68,79,74,72,74,86,75,58,79,74,84,69,47,77,77,78,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,77
41,221992,25,175,70,1,3,4,93,76,72,82,41,62,73,77,62,74,74,83,72,65,65,80,92,93,89,81,82,76,67,76,54,75,64,45,82,74,73,75,42,35,29,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81
42,226110,26,183,73,0,2,4,88,79,75,83,36,65,77,79,57,76,70,85,81,79,66,81,88,88,88,77,79,81,66,77,68,78,43,33,77,76,85,77,36,34,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81
43,226166,23,187,84,1,3,3,80,49,69,73,82,80,74,40,74,73,39,73,69,33,70,74,77,82,67,77,65,67,90,79,79,52,83,83,60,64,45,73,82,85,82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,68
44,235374,27,174,67,1,3,3,92,62,76,82,70,65,83,67,44,78,59,82,68,58,75,81,93,92,89,78,89,53,39,86,56,57,66,73,74,74,55,76,72,75,69,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,79
45,238074,21,178,87,1,3,3,80,58,77,77,76,80,86,48,69,79,46,77,82,76,71,80,78,81,72,75,85,75,73,79,83,66,74,75,66,70,50,72,77,80,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74
46,240950,23,173,65,1,4,4,76,81,79,84,56,65,75,84,40,83,79,83,77,72,78,84,77,76,83,84,87,81,43,85,58,76,64,66,84,81,74,86,57,57,50,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,81
47,241852,21,170,68,0,2,4,94,67,73,85,41,53,75,73,28,78,63,87,66,41,70,82,96,92,92,77,93,73,62,70,44,54,51,48,77,76,42,75,46,35,46,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81
48,247394,21,186,75,0,4,4,84,74,77,84,56,76,80,70,54,79,80,85,83,61,69,87,85,83,77,80,73,74,66,85,77,83,67,55,77,78,65,83,50,64,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,81
49,185020,34,178,73,1,4,3,77,76,76,81,48,59,82,75,65,80,84,80,73,65,60,85,76,78,84,70,80,78,68,73,53,76,54,54,78,78,62,79,60,32,32,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,79
50,190972,30,173,71,1,4,5,86,76,73,84,57,68,73,76,72,75,72,85,79,64,66,83,88,84,86,77,78,79,83,75,63,72,68,60,83,74,76,84,48,59,55,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80
51,198950,29,174,70,0,4,4,72,76,81,82,57,59,81,77,61,83,64,83,84,74,78,83,73,72,78,79,80,75,31,71,59,77,49,58,81,83,69,76,60,54,49,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80
52,203980,28,183,70,1,5,3,75,77,79,82,43,69,77,78,62,81,72,83,84,81,76,84,74,76,79,77,69,76,69,76,68,77,65,37,77,79,78,80,47,38,38,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,79
53,204970,28,179,70,0,3,4,79,79,79,80,41,68,80,78,70,82,74,80,83,72,75,82,82,76,85,82,68,82,76,79,67,80,56,42,81,78,78,76,46,29,31,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80
54,210455,27,170,70,1,3,3,75,53,71,76,79,69,78,49,69,76,44,76,66,54,64,77,76,74,71,78,80,68,76,78,59,47,82,79,67,68,46,74,79,81,80,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,71
55,222331,25,187,88,1,3,2,85,51,64,71,82,77,72,59,78,74,41,71,45,22,63,73,81,89,63,81,60,58,82,82,76,31,72,81,70,55,26,68,84,81,86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,70
56,227928,27,177,69,1,3,4,82,57,68,81,75,75,76,50,58,75,42,81,61,30,65,79,81,83,87,79,79,74,81,84,67,60,81,76,72,62,38,79,75,79,77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,74
57,243576,21,176,71,1,3,3,80,67,73,79,75,75,80,61,66,75,53,79,65,67,71,82,76,83,78,78,71,81,59,83,73,74,74,76,75,68,46,78,74,78,75,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,76
58,244470,28,175,76,1,3,3,77,56,73,75,78,81,81,50,70,75,61,73,75,42,73,76,76,77,74,78,84,66,84,86,76,59,86,76,69,69,49,72,78,81,78,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72
59,173221,34,180,70,1,4,4,72,78,79,80,61,62,79,73,55,81,79,80,77,71,80,82,75,69,79,75,80,87,36,81,54,82,66,67,79,77,69,73,61,63,53,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,78
60,176635,32,180,71,0,2,4,62,68,85,79,24,48,81,67,51,88,77,79,84,75,81,82,66,59,74,77,70,70,40,50,50,64,44,24,80,88,67,83,24,16,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,77
61,192064,30,185,78,1,4,4,83,78,77,79,41,72,73,77,78,81,77,78,70,72,74,83,82,83,74,76,81,78,78,76,73,79,62,33,83,77,76,78,37,41,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,79
62,193348,29,169,72,0,4,5,75,76,80,81,46,67,79,70,45,80,76,80,85,82,78,82,77,73,83,77,91,87,51,65,71,81,61,55,75,80,65,79,35,49,48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,78
63,202857,31,184,81,1,3,4,85,76,71,81,34,72,78,74,48,71,73,82,72,58,59,82,85,85,82,77,78,84,75,71,70,77,75,38,75,75,57,80,32,30,33,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79
64,216150,29,182,75,1,3,3,76,66,73,74,75,71,81,59,69,75,69,76,74,59,68,74,75,76,71,73,68,75,65,79,66,72,75,76,68,68,59,73,74,77,78,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73
65,220253,25,175,69,0,3,4,79,78,75,82,35,66,73,79,77,80,80,82,81,67,62,83,82,76,83,78,79,78,66,72,66,77,58,25,78,76,66,80,38,27,25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,79
66,224031,28,185,85,1,4,3,86,66,67,74,75,79,76,56,76,71,68,75,76,48,55,76,84,88,64,76,77,79,81,82,79,77,74,74,69,60,58,69,74,75,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73
67,236632,24,176,66,0,3,5,85,72,73,85,37,64,67,74,45,78,72,85,70,52,69,85,86,85,90,75,86,73,56,73,64,67,55,35,75,79,69,79,42,32,29,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,79
68,243812,20,174,64,1,4,4,87,76,71,83,32,56,71,80,62,74,67,84,80,73,60,80,88,86,87,76,85,71,73,81,42,71,54,21,82,71,74,82,25,36,32,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,79
69,255475,21,174,63,0,3,5,91,72,72,84,37,65,70,75,45,73,67,84,74,75,62,84,93,90,92,74,85,69,57,78,57,69,72,39,74,77,65,78,38,37,21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,79
70,172962,30,177,79,1,4,4,76,69,74,80,70,70,76,67,69,76,64,82,75,61,70,81,77,76,75,74,79,74,66,78,68,69,66,71,73,72,75,75,70,71,70,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,76
71,184392,31,182,70,1,5,3,70,58,69,74,78,68,74,55,68,74,59,72,69,35,68,74,70,70,77,79,77,69,67,75,62,56,74,78,69,65,45,78,78,80,78,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,70
72,189505,33,169,65,1,5,4,74,73,77,84,40,52,74,73,39,80,70,81,81,57,71,88,84,66,90,75,90,75,66,68,40,75,58,49,75,81,66,81,44,32,31,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,78
73,201417,29,182,87,1,4,3,68,64,73,75,75,76,80,62,74,78,46,74,63,45,69,79,69,68,67,80,67,76,82,81,72,63,76,76,75,68,48,70,74,77,75,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,73
74,203605,29,182,81,1,2,3,74,43,73,73,72,79,83,28,76,74,57,71,57,52,68,77,78,70,66,81,67,66,81,83,77,41,78,70,72,72,54,76,72,71,78,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,69
75,203747,26,178,74,1,2,3,83,51,69,77,73,65,74,52,60,76,41,77,63,50,59,77,82,84,78,76,77,52,64,75,58,43,72,76,67,66,62,70,74,74,76,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72
76,212213,28,173,65,1,4,4,74,67,75,78,70,69,78,65,56,78,60,77,79,51,68,80,75,74,77,75,82,69,75,88,59,64,68,69,77,75,78,81,66,76,75,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75
77,213956,25,178,72,1,2,4,96,66,67,86,38,81,78,66,40,71,52,92,67,42,54,83,97,96,85,66,88,78,79,77,87,65,70,41,64,67,47,73,37,38,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78
78,215590,27,178,72,1,4,4,77,73,72,80,58,67,70,73,77,76,77,81,78,60,62,80,79,76,81,82,79,72,73,79,57,69,74,49,82,76,73,77,61,61,42,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78
79,223053,33,168,71,0,4,4,81,74,72,82,45,49,75,77,69,75,71,82,64,67,71,80,81,81,91,77,85,69,33,75,47,72,27,43,78,69,72,75,38,46,41,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78
80,224254,25,174,78,1,3,4,90,76,74,79,49,73,74,72,48,75,63,78,78,76,68,76,92,89,91,77,85,83,65,89,73,83,56,49,76,75,72,70,65,40,33,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78
81,226766,25,165,58,1,4,4,90,65,71,85,33,50,66,67,42,75,57,86,75,42,70,82,94,86,92,77,93,66,65,75,30,57,67,21,76,78,63,78,42,30,29,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78
82,227055,26,173,74,1,3,5,93,71,70,83,51,61,71,69,51,73,74,85,82,60,55,78,93,93,91,74,89,77,67,88,48,69,60,50,71,73,66,76,54,51,48,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78
83,227890,26,176,73,0,3,4,81,75,75,80,43,67,79,70,57,74,84,81,77,72,71,80,84,79,81,79,72,83,57,78,60,76,74,59,76,74,71,75,44,33,26,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78
84,230406,25,173,72,1,4,3,83,69,75,78,42,68,75,69,34,78,61,81,67,72,72,77,90,78,73,77,77,77,50,69,72,68,63,40,73,75,44,62,36,49,48,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,77
85,231340,24,175,70,1,3,3,86,53,70,74,73,81,72,41,71,76,41,71,59,39,66,75,87,85,82,75,71,65,80,93,73,59,87,73,77,70,75,75,73,73,73,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72
86,235353,23,185,76,1,2,4,94,76,67,80,22,67,68,75,44,69,76,82,78,55,59,79,94,94,78,76,74,82,48,73,71,78,53,17,73,68,58,78,25,16,21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,78
87,238616,21,172,62,0,4,4,87,74,69,81,31,59,70,76,49,75,65,83,66,51,56,80,86,87,86,75,86,76,52,72,56,74,53,41,76,73,62,64,32,23,17,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,78
88,239380,22,179,69,1,3,4,82,74,72,82,51,67,66,76,48,78,80,84,69,57,67,80,85,80,85,76,82,72,67,76,63,69,65,57,75,76,71,82,47,53,43,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78
89,244193,23,176,72,1,4,4,86,76,73,80,38,69,73,74,57,74,74,82,78,75,69,78,87,86,80,78,77,82,72,71,71,76,59,37,76,72,76,78,37,35,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,78
90,20775,37,175,68,1,4,5,72,71,78,84,24,60,82,64,41,73,80,86,94,71,73,84,72,72,80,72,84,78,63,54,59,78,68,24,73,83,73,82,29,17,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77
91,184858,32,190,80,1,3,3,77,77,64,71,34,78,68,79,83,67,67,71,56,69,58,73,75,78,71,75,64,78,84,82,84,74,54,33,79,59,72,67,26,29,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,73
92,190149,32,182,78,1,3,4,82,64,74,76,70,78,76,64,59,79,57,75,77,53,68,78,81,82,75,75,78,73,77,87,73,56,77,73,73,70,55,75,72,70,72,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74
93,193254,34,189,82,1,3,3,72,65,73,68,74,80,87,61,72,70,57,69,73,63,72,69,64,79,62,73,55,75,59,82,81,65,78,76,66,67,60,70,74,75,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70
94,194229,30,173,69,1,3,3,66,39,68,67,74,74,78,28,65,71,28,62,69,38,61,71,63,69,74,80,63,67,79,82,69,39,76,78,46,64,23,70,69,77,77,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,62
95,194932,29,178,73,0,4,4,77,74,75,79,38,67,78,69,48,75,72,81,80,78,70,79,78,77,79,75,77,83,44,74,62,76,76,37,74,76,76,72,41,35,34,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77
96,195272,29,180,71,1,3,3,74,71,73,74,70,76,75,66,65,76,74,74,73,68,72,77,75,73,65,74,79,76,71,84,72,75,77,70,77,67,66,71,70,72,73,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74
97,197083,33,182,80,1,4,3,66,74,78,75,71,76,85,73,63,76,71,75,80,79,73,75,67,66,74,77,67,76,77,82,75,74,72,72,75,75,80,74,71,73,68,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,75
98,207948,25,181,73,0,1,4,78,73,73,82,45,66,73,75,66,74,72,82,79,73,68,86,77,79,88,69,59,73,75,69,65,68,60,54,73,74,69,74,40,40,37,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,77
99,208004,29,184,75,1,4,2,64,49,66,69,79,76,70,50,74,74,38,66,40,34,73,72,64,64,66,77,66,60,78,75,74,41,82,79,55,55,42,78,78,82,77,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,64
100,210282,31,178,72,1,2,3,84,64,69,75,70,69,73,53,60,73,71,75,69,59,66,77,77,90,79,68,75,78,68,80,65,68,65,72,74,63,70,70,68,74,73,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72
101,210617,26,182,67,0,2,4,80,69,74,82,43,53,75,67,43,76,58,82,78,69,70,83,83,77,92,75,82,76,60,64,48,70,48,50,75,73,59,72,45,43,25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,77
