,sofifa_id,age,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Low,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185),body_type_Stocky (185+),body_type_Unique,rb
28,223724,28,175,73,1,3,2,78.0,63.0,70.0,75.0,74.0,80.0,78,59,64,76,63,76,65,33,70,71,79,78,76,77,78,73,69,92,72,65,88,74,66,60,45,75,75,77,74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
29,227928,27,177,69,1,3,4,82.0,57.0,68.0,81.0,75.0,75.0,76,50,58,75,42,81,61,30,65,79,81,83,87,79,79,74,81,84,67,60,81,76,72,62,38,79,75,79,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,79
30,230201,25,177,75,1,3,3,76.0,51.0,70.0,77.0,77.0,70.0,81,48,69,73,49,78,55,49,75,77,81,72,83,81,71,52,55,85,68,56,62,77,57,61,41,54,79,78,76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80
31,236401,23,183,62,1,3,3,82.0,61.0,74.0,81.0,75.0,71.0,74,63,65,81,56,82,67,33,73,81,81,83,86,77,67,67,69,82,66,54,69,78,73,76,37,76,74,75,78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
32,240709,23,176,75,1,4,3,84.0,73.0,73.0,81.0,70.0,78.0,79,74,49,74,63,83,64,45,69,78,83,85,82,78,87,77,73,91,73,73,74,74,76,75,51,76,74,70,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
33,244470,28,175,76,1,3,3,77.0,56.0,73.0,75.0,78.0,81.0,81,50,70,75,61,73,75,42,73,76,76,77,74,78,84,66,84,86,76,59,86,76,69,69,49,72,78,81,78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80
34,138412,35,175,70,1,4,3,56.0,70.0,81.0,77.0,77.0,75.0,85,62,65,82,76,76,81,75,80,81,60,52,68,84,72,82,62,77,70,70,86,78,71,77,89,84,77,80,78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,78
35,192789,30,180,77,1,3,3,74.0,69.0,71.0,72.0,78.0,76.0,78,68,65,76,74,73,71,54,69,74,71,76,67,76,57,78,73,76,75,69,80,76,64,62,50,69,80,81,82,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
36,198946,32,180,75,1,3,3,70.0,56.0,67.0,71.0,80.0,79.0,73,48,84,71,57,71,63,62,67,69,74,67,72,78,69,66,84,80,78,58,79,78,66,58,60,73,80,80,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
37,204259,29,178,72,1,3,3,77.0,53.0,70.0,76.0,77.0,74.0,77,51,69,75,43,74,47,54,72,77,76,78,78,80,74,56,81,80,67,50,80,78,70,64,56,76,77,78,77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
38,210625,26,184,83,1,3,3,88.0,51.0,69.0,73.0,74.0,80.0,77,49,67,69,39,72,64,48,65,74,88,88,76,73,73,66,78,91,78,44,74,70,72,68,35,71,75,76,80,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
39,211241,29,170,65,1,3,4,80.0,70.0,72.0,78.0,75.0,68.0,79,69,75,78,66,77,59,56,66,80,77,82,78,78,79,75,67,76,66,66,63,72,77,65,64,72,72,78,79,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79
40,219789,29,175,71,1,3,3,85.0,54.0,72.0,76.0,73.0,77.0,79,48,71,76,32,76,71,38,73,76,84,86,74,74,81,68,86,90,70,58,75,72,71,66,47,72,71,75,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
41,222501,25,180,80,1,3,3,78.0,57.0,71.0,76.0,75.0,70.0,79,59,69,75,40,77,58,33,70,78,77,78,71,78,66,62,72,84,64,52,68,78,77,69,27,68,77,75,72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
42,223597,28,172,71,1,2,3,79.0,53.0,72.0,76.0,74.0,77.0,78,49,60,77,52,76,62,33,71,75,81,78,80,77,78,70,81,92,66,45,83,75,70,69,38,72,74,77,77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
43,224490,24,180,78,1,3,3,79.0,58.0,71.0,72.0,75.0,79.0,75,55,65,76,55,71,72,39,68,76,77,80,67,75,67,63,68,87,77,61,75,78,73,69,46,70,75,77,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
44,226221,27,180,71,1,3,2,66.0,33.0,61.0,60.0,79.0,77.0,72,26,82,77,30,48,53,41,55,76,63,68,59,76,57,39,78,74,77,40,80,77,36,32,43,68,76,81,82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
45,226851,25,186,81,1,3,3,69.0,53.0,72.0,71.0,78.0,76.0,77,43,80,75,70,68,63,51,76,77,68,69,66,76,66,71,86,79,76,53,69,78,58,66,51,76,76,79,80,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80
46,230216,29,175,70,1,3,2,83.0,52.0,70.0,71.0,76.0,71.0,78,47,71,75,49,68,56,58,63,74,85,82,73,76,66,57,57,81,71,54,62,74,66,66,55,67,75,79,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
47,234035,25,176,66,1,3,3,84.0,55.0,71.0,75.0,74.0,65.0,81,48,73,76,48,76,71,30,70,76,83,85,75,74,78,61,71,78,59,59,62,73,69,63,62,67,73,76,77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
48,247204,22,181,79,1,3,3,84.0,62.0,71.0,74.0,74.0,77.0,77,57,70,77,44,74,73,47,65,77,82,85,74,75,67,77,79,82,74,62,80,72,73,65,48,65,70,78,79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
49,180216,32,177,77,1,3,3,66.0,65.0,73.0,76.0,78.0,70.0,77,61,65,77,64,77,65,53,69,76,66,66,73,77,74,75,71,71,66,66,80,79,70,70,55,82,78,81,80,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
50,184392,31,182,70,1,5,3,70.0,58.0,69.0,74.0,78.0,68.0,74,55,68,74,59,72,69,35,68,74,70,70,77,79,77,69,67,75,62,56,74,78,69,65,45,78,78,80,78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
51,192045,30,177,76,1,3,3,84.0,64.0,73.0,76.0,70.0,79.0,78,59,62,75,59,77,67,60,69,76,86,82,76,74,74,75,69,91,77,68,69,71,76,73,40,75,69,73,73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
52,193171,33,171,62,0,3,3,73.0,61.0,71.0,73.0,77.0,68.0,79,57,75,78,38,70,67,59,67,79,74,72,71,75,73,75,71,63,64,64,85,77,66,57,56,69,76,77,78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78
53,198657,28,170,70,1,3,3,79.0,60.0,72.0,75.0,73.0,82.0,76,55,61,75,61,73,73,54,67,74,76,82,73,75,93,75,75,92,77,58,82,74,69,71,48,75,73,75,73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78
54,201042,28,182,71,1,4,3,74.0,62.0,74.0,74.0,74.0,79.0,78,60,69,75,42,75,78,70,73,76,71,76,70,76,69,69,81,86,76,68,76,74,73,68,43,73,73,76,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
55,201417,29,182,87,1,4,3,68.0,64.0,73.0,75.0,75.0,76.0,80,62,74,78,46,74,63,45,69,79,69,68,67,80,67,76,82,81,72,63,76,76,75,68,48,70,74,77,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
56,203605,29,182,81,1,2,3,74.0,43.0,73.0,73.0,72.0,79.0,83,28,76,74,57,71,57,52,68,77,78,70,66,81,67,66,81,83,77,41,78,70,72,72,54,76,72,71,78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
57,203747,26,178,74,1,2,3,83.0,51.0,69.0,77.0,73.0,65.0,74,52,60,76,41,77,63,50,59,77,82,84,78,76,77,52,64,75,58,43,72,76,67,66,62,70,74,74,76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
58,203843,33,173,68,1,3,3,73.0,69.0,73.0,74.0,76.0,77.0,80,64,70,75,59,74,74,70,72,76,72,73,71,74,72,83,79,78,71,71,89,77,63,62,67,74,76,77,78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
59,208364,28,180,73,1,3,3,82.0,61.0,68.0,75.0,76.0,80.0,62,53,71,73,46,74,71,70,69,74,79,85,87,76,70,78,86,93,74,67,78,76,67,63,49,78,76,77,76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
60,212213,28,173,65,1,4,4,74.0,67.0,75.0,78.0,70.0,69.0,78,65,56,78,60,77,79,51,68,80,75,74,77,75,82,69,75,88,59,64,68,69,77,75,78,81,66,76,75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77
61,216643,26,178,65,1,4,3,72.0,59.0,75.0,73.0,76.0,74.0,79,53,60,78,73,73,76,56,75,75,70,74,67,78,66,72,73,80,72,55,70,78,72,71,46,78,76,78,78,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
62,222558,26,184,80,1,3,3,87.0,64.0,74.0,77.0,76.0,78.0,80,53,70,77,69,78,70,60,73,80,84,89,67,77,65,80,73,80,78,69,78,76,79,69,52,74,74,79,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79
63,227174,23,179,74,1,3,3,81.0,63.0,68.0,73.0,72.0,66.0,78,66,49,70,48,73,64,48,62,70,79,83,86,76,67,64,80,87,56,64,63,76,61,67,44,72,74,75,76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
64,227678,23,183,77,1,3,2,77.0,39.0,62.0,71.0,79.0,75.0,51,34,78,74,35,70,37,38,72,73,73,81,64,80,71,58,78,71,77,32,75,78,50,58,38,77,81,77,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
65,228881,24,177,70,1,3,3,77.0,50.0,67.0,73.0,76.0,72.0,76,40,64,72,58,70,74,48,66,72,79,76,81,76,79,62,72,79,65,58,80,77,48,54,48,74,77,79,77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
66,230206,33,169,66,1,3,2,92.0,56.0,68.0,73.0,72.0,69.0,76,50,60,73,56,75,60,50,67,71,94,90,74,77,72,64,69,78,69,60,60,73,60,60,50,71,72,75,72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78
67,230360,21,176,75,1,3,4,78.0,71.0,71.0,76.0,74.0,74.0,76,69,60,76,71,76,76,68,59,75,84,73,77,80,72,72,68,88,67,74,73,72,76,64,64,80,78,75,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
68,231340,24,175,70,1,3,3,86.0,53.0,70.0,74.0,73.0,81.0,72,41,71,76,41,71,59,39,66,75,87,85,82,75,71,65,80,93,73,59,87,73,77,70,75,75,73,73,73,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,78
69,183353,33,184,72,1,3,3,71.0,56.0,68.0,67.0,75.0,75.0,77,56,76,73,35,65,65,51,55,72,71,71,62,75,54,67,87,79,71,54,75,76,62,65,42,64,71,77,77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
70,190149,32,182,78,1,3,4,82.0,64.0,74.0,76.0,70.0,78.0,76,64,59,79,57,75,77,53,68,78,81,82,75,75,78,73,77,87,73,56,77,73,73,70,55,75,72,70,72,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77
71,193254,34,189,82,1,3,3,72.0,65.0,73.0,68.0,74.0,80.0,87,61,72,70,57,69,73,63,72,69,64,79,62,73,55,75,59,82,81,65,78,76,66,67,60,70,74,75,69,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77
72,194022,30,186,80,1,3,3,66.0,63.0,75.0,74.0,79.0,75.0,79,58,74,80,54,74,78,42,75,79,63,68,66,73,60,76,77,65,78,67,80,77,70,72,43,77,80,81,77,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77
