,sofifa_id,age,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185)
14,222492,21,183,75,0,3,3,94,77,72,86,35,70,76,78,72,75,64,87,82,62,64,84,93,94,89,79,82,78,66,80,70,77,58,32,82,69,63,76,26,32,35,0,0,1,0,0,0,0,1,0,0,0,0,0,0
15,192985,26,181,68,1,4,4,75,84,88,85,45,75,90,83,53,90,82,85,83,83,84,87,76,75,80,88,75,85,65,87,73,86,68,56,84,90,77,84,30,51,40,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16,197853,24,176,76,1,3,3,84,66,73,77,78,84,80,65,75,76,50,76,69,30,72,77,84,84,76,81,78,78,93,87,81,58,83,76,74,71,66,75,77,80,82,1,0,0,0,0,0,0,0,0,0,0,0,0,1
17,183569,28,191,91,1,4,4,77,73,68,83,36,72,64,75,74,75,75,86,76,44,68,83,76,78,76,77,66,77,64,75,77,64,59,38,76,66,68,72,26,36,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18,199005,25,184,82,1,4,1,72,23,46,53,76,23,23,11,14,40,15,13,23,12,45,24,53,52,53,73,50,35,78,34,68,18,36,23,10,68,25,56,16,20,17,0,0,0,0,0,1,0,0,0,0,0,0,0,1
19,189148,27,178,72,1,3,3,79,68,64,70,39,69,65,69,49,65,66,71,63,57,63,67,80,79,74,64,74,66,73,79,69,67,56,47,66,64,67,74,24,45,36,0,0,0,0,0,1,0,1,0,0,0,0,0,0
20,186905,27,186,76,1,4,2,67,73,63,73,42,81,65,74,76,66,68,72,60,56,57,76,68,67,71,68,67,76,82,78,80,67,87,35,73,63,74,67,33,46,39,0,0,1,0,0,0,0,0,0,0,0,1,0,0
21,213490,20,182,70,1,3,3,75,64,65,75,42,65,62,66,59,67,56,75,57,53,66,75,74,75,80,63,71,64,76,65,68,64,54,41,65,68,60,64,35,44,40,0,0,0,0,0,1,0,0,0,0,1,0,0,0
22,204519,27,185,77,1,3,2,71,52,62,63,69,75,71,45,65,62,44,62,60,45,60,61,69,72,70,72,60,61,85,82,73,60,71,70,53,59,51,71,68,72,69,0,0,0,0,0,1,0,0,1,0,0,0,0,0
23,54051,32,170,77,1,2,4,72,66,70,81,36,61,74,69,34,73,71,83,61,28,72,77,71,72,79,73,87,68,71,68,67,55,36,39,72,74,63,69,30,37,46,1,0,0,0,0,0,0,0,0,0,0,0,1,0
24,216150,25,182,70,1,2,2,82,66,70,75,75,76,79,60,68,72,68,76,72,59,66,73,78,85,75,75,77,74,69,90,71,72,75,75,71,64,59,72,75,77,79,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25,198719,23,173,69,1,3,4,87,69,70,82,24,52,72,69,33,72,55,83,69,65,63,79,89,86,91,65,86,71,50,72,47,71,38,22,74,72,57,70,18,26,30,0,0,1,0,0,0,0,1,0,0,0,0,0,0
26,169792,27,185,80,1,4,3,77,75,68,76,32,67,68,77,76,75,74,77,69,29,66,75,76,78,75,77,64,74,81,76,71,72,41,44,80,69,71,75,16,28,21,0,0,1,0,0,0,0,0,1,0,0,0,0,0
27,189615,27,170,66,0,3,2,76,59,72,76,73,68,80,53,58,72,45,76,76,69,68,75,75,76,77,68,90,71,85,82,59,62,68,71,63,68,59,72,76,75,77,0,0,1,0,0,0,1,0,0,0,0,0,0,0
28,185422,25,180,74,1,2,3,90,77,60,76,29,70,63,82,63,68,67,77,69,42,48,74,87,92,78,72,71,78,72,73,77,69,50,33,77,56,72,72,22,26,19,0,0,0,0,0,1,0,0,0,0,1,0,0,0
29,207993,24,183,85,0,2,2,78,53,61,64,78,89,74,42,73,68,31,63,43,25,49,69,73,82,52,78,55,82,76,85,91,52,91,71,62,56,44,70,78,83,84,0,0,0,1,0,0,0,0,0,0,0,0,0,1
30,203376,25,193,92,1,3,2,73,60,67,69,83,85,53,52,80,76,45,70,60,70,76,73,69,76,57,79,51,81,79,76,92,64,78,83,41,59,62,82,83,85,83,0,0,1,0,0,0,0,0,0,0,0,1,0,0
31,171972,29,178,66,1,3,3,62,60,72,71,72,76,66,56,66,78,51,66,54,61,74,77,65,60,72,77,78,65,61,78,73,61,86,78,73,71,67,77,70,74,70,1,0,0,0,0,0,0,0,0,0,1,0,0,0
32,204904,25,181,74,1,3,2,81,46,64,68,66,64,72,34,59,65,32,68,60,47,63,68,77,84,65,65,68,61,72,69,62,57,60,65,65,58,52,65,66,67,68,0,0,0,0,0,1,0,0,0,0,1,0,0,0
33,193061,26,182,77,1,4,4,78,66,80,81,68,68,78,61,60,83,74,82,78,72,76,83,78,78,79,78,75,66,66,77,64,72,66,72,76,81,72,78,64,71,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0
34,188166,26,183,75,1,4,3,87,71,69,78,35,71,77,69,54,68,45,82,72,48,67,74,88,86,78,65,71,80,54,74,78,74,55,28,72,70,61,67,29,40,34,0,0,0,0,0,1,0,0,0,0,1,0,0,0
35,221479,20,185,71,1,3,2,80,64,47,67,30,62,46,69,52,50,59,65,42,42,35,66,79,81,81,57,71,65,73,69,62,56,49,34,63,54,54,55,23,31,21,0,1,0,0,0,0,0,0,1,0,0,0,0,0
36,233601,20,183,75,1,4,4,75,62,71,77,43,65,70,60,59,76,61,79,63,63,64,79,77,74,73,63,67,62,51,72,68,65,54,33,73,74,65,75,43,44,46,1,0,0,0,0,0,0,1,0,0,0,0,0,0
37,189446,27,183,76,1,3,4,80,68,71,73,32,56,71,70,43,73,51,73,71,75,65,74,77,83,79,67,62,70,48,76,57,66,31,60,66,73,61,65,16,27,29,0,0,1,0,0,0,0,1,0,0,0,0,0,0
38,186115,27,179,70,0,2,3,79,55,70,74,77,72,76,47,68,74,47,74,64,52,65,75,77,80,73,77,74,67,71,77,69,60,72,78,63,65,63,75,76,79,78,0,0,1,0,0,0,0,1,0,0,0,0,0,0
39,202491,25,178,66,0,2,3,66,58,74,70,52,51,60,57,46,83,58,65,66,65,76,75,67,65,78,69,74,59,45,72,42,58,47,55,67,75,56,68,53,54,47,0,0,0,0,0,1,0,1,0,0,0,0,0,0
40,52306,32,185,84,0,2,3,59,73,79,75,67,67,85,67,61,78,58,77,86,70,79,77,63,56,65,74,61,86,77,65,66,79,69,67,70,74,74,65,65,71,63,0,0,0,0,0,1,0,0,0,0,0,1,0,0
41,199741,26,191,79,0,4,3,75,65,53,64,27,73,59,67,66,62,60,66,43,38,46,62,71,78,61,64,54,70,44,74,79,59,62,21,63,45,55,59,19,27,23,0,0,0,0,0,1,0,0,1,0,0,0,0,0
42,215556,21,190,77,1,4,3,80,67,67,71,52,69,57,65,43,74,56,73,57,51,70,71,78,81,70,58,56,73,59,80,68,70,60,42,65,69,55,63,53,59,55,0,0,1,0,0,0,0,0,1,0,0,0,0,0
43,205540,21,176,81,1,4,3,85,67,60,76,48,66,66,65,35,65,50,78,65,24,56,74,85,85,75,64,80,79,60,69,71,68,50,46,67,54,57,64,45,55,53,0,0,0,0,0,1,0,0,0,0,1,0,0,0
44,231943,20,181,70,1,5,3,81,70,60,77,25,74,63,72,70,68,63,78,40,34,42,76,83,79,78,72,70,74,60,79,76,63,68,16,76,69,71,70,21,22,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0
45,231448,17,175,70,1,3,3,81,53,46,70,29,41,50,53,39,44,49,74,50,44,41,64,84,79,84,44,65,65,46,35,44,42,42,24,57,51,54,57,29,28,29,0,0,1,0,0,0,0,1,0,0,0,0,0,0
46,203747,22,178,74,1,3,3,95,51,69,78,75,70,76,52,60,75,41,76,63,50,59,79,96,94,84,78,77,52,65,87,62,43,72,78,67,63,62,72,75,77,81,0,0,1,0,0,0,0,0,0,0,1,0,0,0
47,203299,26,181,78,1,4,4,84,73,71,79,32,67,76,71,70,73,74,79,78,55,60,79,86,83,80,75,77,76,74,65,72,75,53,34,76,75,68,73,19,32,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0
48,193884,26,188,74,0,4,3,71,67,71,72,63,70,70,66,60,76,68,74,65,67,70,72,68,74,66,64,63,67,70,89,67,68,56,67,64,68,65,69,61,64,57,1,0,0,0,0,0,0,0,1,0,0,0,0,0
49,199434,28,181,76,0,2,4,70,67,80,83,37,63,79,65,63,81,73,83,83,76,77,85,70,70,81,78,80,69,64,69,62,66,56,31,73,84,75,77,40,34,26,0,0,0,0,1,0,0,0,0,0,1,0,0,0
50,152908,31,175,65,1,3,3,77,69,77,79,65,61,84,65,54,77,73,78,86,72,69,79,79,76,81,79,77,75,57,73,57,70,58,67,68,75,65,65,64,68,63,0,0,0,0,0,1,0,1,0,0,0,0,0,0
51,183130,27,175,74,1,3,3,79,69,74,77,47,70,83,69,42,69,72,77,82,73,73,77,79,79,79,71,81,72,62,86,62,67,73,56,73,74,60,72,41,50,45,1,0,0,0,0,0,0,1,0,0,0,0,0,0
52,208722,25,175,69,1,3,4,93,78,75,85,36,75,72,83,53,77,68,86,74,64,71,84,94,92,89,80,85,77,75,82,72,69,73,31,84,78,71,78,33,35,38,0,0,1,0,0,0,0,0,0,0,1,0,0,0
53,211381,23,170,60,1,4,5,82,71,73,86,36,43,70,72,35,76,70,87,71,69,66,86,83,81,90,70,85,71,33,67,31,69,47,19,76,77,69,69,44,40,32,0,1,0,0,0,0,1,0,0,0,0,0,0,0
54,178287,28,178,70,1,3,3,68,68,72,73,63,67,74,69,63,73,58,74,70,65,68,72,70,66,73,67,78,69,72,82,69,66,42,65,69,71,62,70,62,64,60,1,0,0,0,0,0,0,0,0,0,1,0,0,0
55,207807,23,163,60,1,4,3,88,64,68,76,42,55,72,67,25,69,43,76,70,67,54,71,89,88,92,64,93,60,61,72,41,69,65,35,69,70,56,68,53,43,37,0,0,1,0,0,0,0,0,0,1,0,0,0,0
56,184200,28,192,83,1,4,4,77,74,79,81,53,81,83,73,71,79,79,84,79,74,74,85,76,78,72,75,57,78,68,79,84,71,81,53,80,81,77,77,49,60,30,0,0,0,0,0,1,0,0,0,0,0,1,0,0
57,200521,25,178,66,0,3,4,79,69,68,77,26,53,71,71,40,67,44,77,75,73,59,76,81,77,87,68,81,70,55,68,52,71,38,30,73,70,68,67,22,24,21,0,0,0,0,0,1,0,1,0,0,0,0,0,0
58,200949,24,172,72,1,3,4,93,74,75,86,45,62,75,72,50,77,70,88,69,74,74,82,95,92,94,75,87,79,71,68,56,71,67,50,78,73,75,79,39,43,51,0,0,0,0,0,1,0,0,0,0,1,0,0,0
59,241095,19,178,72,1,4,4,76,63,63,70,31,61,64,63,51,63,62,70,60,58,57,71,79,74,75,51,76,66,58,64,59,58,63,26,65,66,63,59,23,35,37,0,0,0,0,0,1,0,0,0,0,1,0,0,0
60,166838,30,180,72,1,4,4,71,66,67,76,39,68,71,68,66,69,49,77,60,69,59,75,74,69,82,69,66,67,63,78,66,66,60,37,72,69,64,71,30,44,31,0,0,1,0,0,0,0,0,0,0,1,0,0,0
61,199304,25,184,78,1,4,3,78,70,71,74,76,79,71,61,68,76,72,73,74,76,69,77,75,80,73,79,65,85,75,83,79,72,74,81,75,63,67,69,72,77,78,0,0,1,0,0,0,0,1,0,0,0,0,0,0
62,206594,22,180,88,0,2,3,78,67,66,76,35,60,67,66,35,67,54,79,70,64,62,71,79,78,80,59,79,74,42,70,61,71,49,30,63,64,55,68,35,37,39,0,0,1,0,0,0,0,1,0,0,0,0,0,0
63,200104,24,183,77,1,5,4,86,83,75,83,25,66,75,83,65,78,73,85,81,70,64,82,87,86,79,81,77,83,65,80,62,86,60,29,83,78,71,78,17,19,23,1,0,0,0,0,0,0,1,0,0,0,0,0,0
64,192883,28,177,75,1,5,4,86,79,80,87,54,70,79,77,53,84,81,87,83,64,72,87,88,84,89,82,85,87,71,86,63,75,69,64,82,85,72,79,49,53,55,1,0,0,0,0,0,0,0,0,0,1,0,0,0
65,211300,21,181,76,1,4,4,90,79,70,86,41,74,73,81,70,75,74,88,79,54,58,84,92,89,85,81,82,84,80,79,76,70,59,42,79,70,74,78,35,39,38,0,0,0,0,1,0,0,0,0,0,1,0,0,0
66,219732,22,175,73,1,3,3,91,72,71,79,35,62,75,71,49,74,74,79,74,58,62,75,92,91,85,77,89,72,55,71,64,74,48,21,76,69,67,72,35,37,42,0,1,0,0,0,0,0,1,0,0,0,0,0,0
67,182744,33,185,81,0,2,3,80,67,70,74,76,82,79,57,74,73,50,73,69,71,69,75,78,81,74,71,75,85,74,82,79,78,89,68,69,54,57,77,78,79,80,0,0,0,0,0,1,0,0,0,0,0,1,0,0
68,229984,20,178,77,0,3,2,76,43,64,71,66,69,69,45,55,65,39,72,60,46,62,70,77,75,72,64,70,39,75,77,63,35,71,67,68,65,50,69,64,68,71,0,0,1,0,0,0,0,0,0,0,1,0,0,0
69,201514,25,178,74,1,2,3,84,71,63,72,37,74,66,73,73,66,68,72,66,46,54,71,85,83,74,71,74,72,80,81,73,66,67,25,71,66,65,69,20,53,32,0,0,0,0,0,1,0,1,0,0,0,0,0,0
70,220633,21,180,74,1,3,3,90,66,64,80,23,55,69,64,31,66,50,82,70,45,59,77,90,90,90,64,82,74,55,72,56,71,33,23,65,60,58,64,21,23,20,0,0,0,0,1,0,0,1,0,0,0,0,0,0
71,195864,24,191,84,1,4,5,74,79,84,85,68,88,78,71,73,86,85,86,84,82,88,89,72,76,76,84,61,90,85,91,91,82,75,68,83,86,76,85,66,68,66,0,0,1,0,0,0,0,0,1,0,0,0,0,0
72,211117,21,188,80,1,3,4,76,81,77,82,64,78,68,84,75,83,76,83,71,53,76,85,77,76,74,85,62,77,69,89,71,79,84,67,86,83,68,86,60,63,57,0,0,1,0,0,0,0,0,1,0,0,0,0,0
73,176571,27,176,72,0,3,3,75,74,75,79,56,77,77,73,76,77,65,78,74,57,71,79,76,75,86,75,81,75,88,86,71,75,78,52,79,75,71,74,49,60,57,0,0,1,0,0,0,0,0,0,0,1,0,0,0
74,205601,25,172,68,0,3,3,91,67,70,79,35,50,67,65,50,75,58,79,70,55,65,76,94,89,89,73,92,72,68,56,46,66,49,35,73,70,73,64,29,37,35,0,1,0,0,0,0,0,0,0,0,1,0,0,0
75,222400,21,176,74,1,3,2,72,57,73,72,55,64,62,54,45,79,50,71,65,60,75,73,75,70,77,68,73,63,54,70,65,62,58,58,62,76,51,73,51,62,53,0,0,0,0,0,1,0,0,0,0,1,0,0,0
76,184941,28,169,62,1,3,4,86,84,80,89,40,78,80,85,70,81,83,90,78,78,73,87,88,84,90,87,87,84,85,85,72,82,80,42,86,83,77,86,30,39,35,1,0,0,0,0,0,0,0,0,1,0,0,0,0
77,151508,32,173,70,1,3,3,64,61,77,77,67,74,75,58,53,81,64,76,73,69,77,77,65,63,77,80,76,63,82,86,67,63,74,67,68,75,62,84,66,71,67,1,0,0,0,0,0,0,0,0,0,1,0,0,0
78,233957,19,180,73,0,3,3,60,49,63,62,52,63,50,41,63,76,47,61,49,47,73,63,65,56,56,62,76,68,58,71,58,44,69,50,55,55,54,57,45,54,61,0,0,0,0,0,1,0,1,0,0,0,0,0,0
79,234378,18,185,76,1,3,2,63,30,45,51,61,66,31,24,59,55,23,49,35,20,48,54,61,65,47,51,56,46,68,64,70,28,60,61,32,49,30,60,57,65,61,0,0,0,0,0,1,0,0,1,0,0,0,0,0
80,170368,25,181,80,0,2,4,76,77,79,82,45,67,76,73,71,82,77,85,83,79,72,82,78,74,77,77,70,80,64,77,59,82,74,43,77,80,75,75,37,47,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0
81,188540,26,181,72,1,3,4,84,56,59,77,37,63,58,51,38,64,51,79,67,57,52,76,83,85,78,58,74,67,56,67,65,54,54,34,62,57,63,66,27,48,36,0,0,0,0,0,1,0,0,0,0,1,0,0,0
82,169595,26,174,76,0,3,3,81,63,73,78,81,78,81,57,62,76,64,79,64,57,66,76,80,81,73,82,76,72,75,81,74,69,87,81,68,73,57,73,82,84,85,0,0,0,1,0,0,0,0,0,0,1,0,0,0
83,198717,24,180,66,1,3,4,90,71,71,86,33,72,79,74,43,72,59,88,54,51,65,86,89,90,89,73,79,75,50,78,73,62,68,23,74,74,66,76,36,32,34,0,0,1,0,0,0,0,1,0,0,0,0,0,0
84,198489,28,180,70,0,2,4,77,67,69,76,58,75,73,67,71,69,59,79,68,66,66,73,75,79,75,72,73,69,72,78,72,65,80,51,73,70,65,71,59,56,60,1,0,0,0,0,0,0,1,0,0,0,0,0,0
85,152747,30,165,63,1,3,3,83,64,71,82,38,62,78,65,28,76,68,82,63,55,54,80,84,82,91,74,91,64,70,70,59,57,57,42,71,73,62,77,40,37,37,0,0,1,0,0,0,0,0,0,1,0,0,0,0
86,212491,23,179,70,0,2,3,86,66,70,78,70,73,75,60,60,71,61,80,69,48,68,76,87,86,76,75,81,77,69,77,74,71,65,66,68,71,49,73,70,74,73,0,0,1,0,0,0,0,1,0,0,0,0,0,0
87,189157,28,188,84,1,4,5,87,68,68,84,31,78,75,64,51,71,51,87,62,49,67,82,86,87,82,74,76,81,64,76,82,71,76,31,69,65,65,69,27,34,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0
88,193062,26,186,82,0,3,3,78,65,67,73,71,80,75,62,55,67,58,74,68,52,59,75,75,81,68,72,53,76,66,83,83,64,71,72,74,67,53,68,71,75,75,0,0,1,0,0,0,0,0,0,0,0,1,0,0
89,213666,21,191,83,1,4,2,67,55,61,69,64,74,36,61,57,76,31,69,31,31,70,74,65,69,62,60,68,51,59,76,78,49,63,62,68,70,45,71,64,67,61,0,0,0,0,0,1,0,0,0,0,0,1,0,0
90,221587,24,178,72,0,2,3,75,59,60,68,37,58,61,60,47,61,55,69,63,51,56,68,79,72,74,57,64,57,57,60,59,61,54,45,59,63,62,56,30,35,37,0,0,0,0,0,1,0,1,0,0,0,0,0,0
91,186395,27,173,70,0,4,3,75,75,72,76,51,68,76,73,38,71,75,76,72,65,66,75,77,74,74,73,84,76,72,78,61,77,70,46,74,74,72,68,56,54,53,0,0,0,0,0,1,0,0,0,0,1,0,0,0
92,236944,21,176,65,1,3,3,73,60,51,67,21,37,63,63,62,51,56,66,42,37,36,65,74,73,79,59,76,56,54,43,35,59,30,14,51,56,59,51,19,16,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0
93,190460,25,182,76,1,5,4,75,78,88,84,47,63,86,76,52,89,74,84,85,87,86,87,77,74,78,83,82,80,57,90,57,84,44,55,81,90,67,87,38,56,22,0,0,1,0,0,0,0,0,0,0,1,0,0,0
94,219411,24,171,75,1,3,4,93,73,67,82,27,62,70,71,60,69,54,83,75,34,63,78,93,93,90,71,83,80,73,84,63,77,27,37,75,72,58,73,18,21,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0
95,206085,22,173,67,1,3,3,82,68,66,71,33,55,69,66,40,64,50,73,75,66,60,66,83,82,81,64,77,73,51,67,59,74,31,16,68,69,68,65,34,39,40,0,1,0,0,0,0,0,1,0,0,0,0,0,0
96,215818,21,170,61,1,4,3,69,59,69,75,53,42,65,62,52,74,59,74,62,56,70,73,74,64,90,55,86,60,34,62,31,51,46,51,64,66,55,70,49,57,54,0,0,1,0,0,0,0,0,0,1,0,0,0,0
97,192638,26,188,84,0,3,3,77,69,76,77,77,80,81,64,70,79,52,78,75,80,73,79,74,79,68,82,58,79,70,90,79,75,72,74,73,65,64,75,77,80,78,1,0,0,0,0,0,0,0,0,0,0,1,0,0
98,163631,32,170,74,0,3,3,70,71,80,79,80,71,86,63,74,81,63,78,81,82,74,80,73,68,74,83,84,84,71,81,64,75,74,80,73,76,90,81,81,81,79,0,0,1,0,0,0,0,0,0,1,0,0,0,0
99,194932,25,181,73,0,4,3,85,75,73,80,33,63,77,72,52,75,59,82,71,76,67,79,86,84,82,71,72,82,48,76,59,77,58,21,70,71,83,68,39,31,27,0,0,1,0,0,0,0,0,0,0,1,0,0,0
100,169705,27,179,85,0,3,2,79,53,71,77,79,75,82,50,69,76,43,77,74,66,70,79,79,79,76,76,68,59,71,83,73,54,73,77,63,51,52,76,79,82,82,0,0,1,0,0,0,0,0,0,0,1,0,0,0
101,203544,28,175,68,0,2,3,79,60,68,70,70,69,70,53,56,68,52,68,71,65,67,70,80,79,76,71,80,72,79,85,61,64,68,71,62,65,74,68,73,70,71,0,0,0,1,0,0,0,1,0,0,0,0,0,0
102,201884,25,175,69,0,4,3,81,71,75,76,65,69,80,68,59,71,66,76,81,79,75,75,83,79,77,74,78,77,75,76,69,74,58,66,72,75,72,73,62,68,71,0,0,1,0,0,0,0,0,0,0,1,0,0,0
103,189242,25,171,68,1,4,4,82,78,83,88,35,64,77,74,47,85,75,88,84,82,78,88,88,77,92,81,92,80,59,80,61,86,55,30,83,87,64,85,24,44,40,1,0,0,0,0,0,0,1,0,0,0,0,0,0
104,164859,28,176,68,1,3,3,91,75,72,80,38,66,74,77,58,74,72,81,76,74,65,78,92,91,83,77,79,76,66,73,62,69,65,35,80,72,74,78,33,39,36,0,0,0,0,0,1,0,1,0,0,0,0,0,0
105,200759,24,178,72,0,2,2,87,61,61,73,67,76,64,56,64,65,64,74,62,34,55,69,84,89,81,68,79,74,77,76,79,53,70,65,69,63,68,64,68,68,70,0,0,1,0,0,0,0,0,0,0,1,0,0,0
