,sofifa_id,age,height_cm,weight_kg,preferred_foot,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-185),body_type_Stocky (185+),body_type_Unique
10,196978,25,180,66,1,3,3,90.0,73.0,63.0,74.0,34.0,76.0,52,79,62,70,65,73,62,45,60,75,92,89,78,70,77,69,66,75,78,64,73,40,77,71,75,78,20,39,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,202052,24,183,78,1,3,3,80.0,73.0,60.0,71.0,26.0,72.0,49,77,66,67,70,71,68,57,52,73,82,79,70,68,69,68,77,71,76,67,60,25,78,65,72,70,21,22,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,188567,28,187,80,1,4,3,96.0,84.0,75.0,81.0,37.0,71.0,77,88,79,77,86,82,78,74,64,82,95,96,77,87,70,81,77,79,77,79,43,48,89,77,79,84,28,25,36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,215590,23,179,66,1,4,3,75.0,72.0,62.0,80.0,25.0,64.0,43,78,65,72,78,82,79,71,51,78,77,74,84,71,79,63,72,73,57,62,69,18,79,65,73,72,19,25,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,173436,29,167,62,1,3,4,83.0,72.0,67.0,80.0,38.0,63.0,64,73,32,74,52,80,58,42,65,77,85,82,85,67,93,75,72,72,55,74,69,35,72,66,70,67,33,45,48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,192985,26,181,68,1,4,4,75.0,84.0,88.0,85.0,45.0,75.0,90,83,53,90,82,85,83,83,84,87,76,75,80,88,75,85,65,87,73,86,68,56,84,90,77,84,30,51,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,51257,36,201,75,1,3,3,33.0,75.0,68.0,66.0,32.0,69.0,59,76,81,75,80,64,57,50,63,77,31,34,55,82,28,74,31,66,74,70,68,23,82,74,74,76,31,26,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,178509,30,192,88,0,3,2,53.0,81.0,70.0,73.0,38.0,83.0,64,83,90,77,82,72,70,65,56,82,51,55,59,82,52,85,82,74,90,74,76,41,83,75,81,78,26,37,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,183125,29,183,90,1,3,3,65.0,81.0,65.0,69.0,35.0,85.0,55,80,82,73,78,65,68,36,60,75,64,65,65,74,73,86,82,77,92,78,80,29,77,73,80,78,33,29,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,172937,33,185,84,1,3,2,49.0,73.0,59.0,66.0,35.0,74.0,48,77,81,65,67,63,57,33,55,70,47,51,59,74,73,74,83,62,77,62,79,45,80,68,75,77,24,29,23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,183569,28,191,91,1,4,4,77.0,73.0,68.0,83.0,36.0,72.0,64,75,74,75,75,86,76,44,68,83,76,78,76,77,66,77,64,75,77,64,59,38,76,66,68,72,26,36,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,209331,25,175,71,0,2,4,93.0,73.0,74.0,87.0,45.0,66.0,73,79,59,79,71,87,70,60,65,87,93,93,86,82,84,71,70,77,61,62,63,55,83,78,61,75,37,43,41,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,213490,20,182,70,1,3,3,75.0,64.0,65.0,75.0,42.0,65.0,62,66,59,67,56,75,57,53,66,75,74,75,80,63,71,64,76,65,68,64,54,41,65,68,60,64,35,44,40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,186905,27,186,76,1,4,2,67.0,73.0,63.0,73.0,42.0,81.0,65,74,76,66,68,72,60,56,57,76,68,67,71,68,67,76,82,78,80,67,87,35,73,63,74,67,33,46,39,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24,198683,25,186,81,0,3,3,74.0,81.0,71.0,78.0,25.0,70.0,70,82,71,72,72,80,78,82,64,82,74,74,73,75,56,84,76,69,75,81,57,18,78,72,72,71,18,24,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,178091,27,186,90,1,3,2,73.0,74.0,57.0,72.0,27.0,83.0,50,74,84,71,67,75,58,48,29,75,67,77,57,71,47,81,76,73,93,69,73,21,74,62,68,71,15,25,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,169792,27,185,80,1,4,3,77.0,75.0,68.0,76.0,32.0,67.0,68,77,76,75,74,77,69,29,66,75,76,78,75,77,64,74,81,76,71,72,41,44,80,69,71,75,16,28,21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,185422,25,180,74,1,2,3,90.0,77.0,60.0,76.0,29.0,70.0,63,82,63,68,67,77,69,42,48,74,87,92,78,72,71,78,72,73,77,69,50,33,77,56,72,72,22,26,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28,186351,27,188,90,1,4,3,71.0,75.0,72.0,75.0,70.0,81.0,68,71,80,79,66,78,49,44,76,75,70,72,71,73,51,85,91,90,75,78,80,70,75,73,72,72,66,70,69,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,194138,26,180,78,1,3,3,89.0,76.0,62.0,72.0,29.0,78.0,61,80,65,66,67,72,57,39,54,70,90,89,78,72,75,80,72,79,81,64,70,33,79,67,74,71,22,23,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,221479,20,185,71,1,3,2,80.0,64.0,47.0,67.0,30.0,62.0,46,69,52,50,59,65,42,42,35,66,79,81,81,57,71,65,73,69,62,56,49,34,63,54,54,55,23,31,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,220031,21,191,77,1,2,2,67.0,64.0,44.0,55.0,21.0,61.0,36,67,62,52,50,50,42,31,37,60,66,68,59,61,60,70,66,71,69,57,27,21,61,48,59,53,12,19,14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,231352,19,190,82,1,3,2,80.0,70.0,53.0,67.0,25.0,70.0,37,73,72,64,44,66,50,42,41,68,80,80,68,71,60,75,71,71,81,62,41,22,73,60,72,70,19,22,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,192505,24,190,94,0,4,3,83.0,85.0,70.0,74.0,34.0,84.0,68,89,87,71,76,77,72,66,68,75,76,89,62,85,47,88,71,80,93,75,72,27,87,73,82,84,27,30,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,153079,29,173,70,1,4,4,87.0,88.0,75.0,89.0,23.0,72.0,70,90,68,79,85,89,82,72,63,89,90,84,86,89,91,88,80,74,74,83,63,24,91,83,83,90,13,20,12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,208830,30,179,74,1,3,3,91.0,79.0,63.0,77.0,51.0,78.0,63,83,64,66,73,76,59,48,48,76,91,91,78,86,77,85,74,88,68,67,92,49,84,72,76,79,48,52,51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,201153,24,189,85,1,4,3,82.0,80.0,71.0,80.0,23.0,73.0,73,82,79,78,81,83,76,44,51,84,78,86,62,81,56,80,79,70,82,78,54,24,83,76,72,79,14,14,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,231943,20,181,70,1,5,3,81.0,70.0,60.0,77.0,25.0,74.0,63,72,70,68,63,78,40,34,42,76,83,79,78,72,70,74,60,79,76,63,68,16,76,69,71,70,21,22,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,165788,30,188,89,1,3,2,49.0,72.0,62.0,69.0,42.0,79.0,51,74,83,69,72,70,55,56,63,72,44,53,55,75,57,76,74,67,88,63,71,33,76,61,73,72,27,48,45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,182836,28,193,79,0,3,2,62.0,78.0,61.0,68.0,49.0,85.0,62,77,91,65,74,67,53,42,57,74,60,64,62,77,49,85,84,68,93,78,85,45,76,65,73,78,42,46,43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,205670,26,177,73,1,4,3,83.0,76.0,55.0,72.0,25.0,60.0,59,79,68,62,68,70,54,75,53,71,85,82,83,74,80,73,71,66,62,72,46,35,78,34,73,76,12,21,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,187084,29,185,79,1,3,3,83.0,75.0,56.0,68.0,42.0,78.0,62,77,84,67,71,65,32,36,31,70,81,85,74,76,66,80,92,77,80,64,72,51,78,60,75,73,42,29,21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,205351,24,171,62,1,4,3,73.0,69.0,71.0,76.0,38.0,54.0,63,67,42,73,59,76,75,78,65,75,77,69,76,64,85,76,59,73,39,69,67,37,70,76,66,56,34,40,43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,207494,24,175,62,1,3,3,83.0,74.0,72.0,81.0,51.0,67.0,72,72,61,75,64,79,74,56,65,82,84,83,85,75,84,76,65,79,61,80,66,53,79,74,65,75,52,46,44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,203299,26,181,78,1,4,4,84.0,73.0,71.0,79.0,32.0,67.0,76,71,70,73,74,79,78,55,60,79,86,83,80,75,77,76,74,65,72,75,53,34,76,75,68,73,19,32,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,217699,29,188,83,1,3,2,69.0,78.0,67.0,73.0,47.0,86.0,58,80,91,73,79,74,73,47,61,75,66,72,64,84,55,78,87,87,85,71,86,54,85,72,74,79,34,48,24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,224883,22,190,80,1,3,2,74.0,74.0,61.0,66.0,44.0,81.0,60,77,84,66,69,64,52,41,59,72,75,74,63,70,54,78,82,72,87,65,78,42,76,61,65,67,43,35,40,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47,192991,26,183,78,1,4,3,73.0,78.0,66.0,75.0,30.0,77.0,64,78,82,70,76,74,72,73,60,76,73,73,76,78,66,80,81,74,80,73,72,31,80,61,82,74,13,34,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,184480,28,183,83,0,3,3,71.0,67.0,60.0,68.0,37.0,72.0,66,66,54,63,65,71,61,35,57,67,70,71,60,63,58,70,62,71,75,68,68,32,62,59,73,61,40,35,27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49,184200,28,192,83,1,4,4,77.0,74.0,79.0,81.0,53.0,81.0,83,73,71,79,79,84,79,74,74,85,76,78,72,75,57,78,68,79,84,71,81,53,80,81,77,77,49,60,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50,212933,28,191,91,1,3,2,55.0,72.0,59.0,63.0,37.0,84.0,42,74,82,70,69,64,46,29,59,72,48,61,37,72,40,77,68,82,90,63,77,32,77,65,62,73,15,46,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51,204276,30,186,80,1,4,2,56.0,73.0,52.0,66.0,32.0,73.0,45,72,76,60,72,63,52,54,44,73,53,59,64,74,56,76,72,68,76,67,74,34,75,51,83,65,17,37,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,204289,23,180,82,1,4,3,79.0,77.0,57.0,76.0,27.0,61.0,51,80,67,62,68,76,63,61,55,77,82,77,73,71,71,81,62,64,64,68,47,33,79,54,73,70,20,18,23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,230666,20,175,73,1,4,4,87.0,79.0,71.0,87.0,26.0,67.0,66,83,66,75,67,87,76,54,66,85,89,85,93,82,92,78,75,84,63,73,56,32,83,75,78,84,20,17,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54,193301,26,175,73,1,3,4,86.0,83.0,71.0,85.0,38.0,77.0,64,87,72,79,82,85,74,71,59,84,84,87,87,85,84,81,76,80,79,76,70,40,87,74,84,86,23,42,30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
55,206594,22,180,88,0,2,3,78.0,67.0,66.0,76.0,35.0,60.0,67,66,35,67,54,79,70,64,62,71,79,78,80,59,79,74,42,70,61,71,49,30,63,64,55,68,35,37,39,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,200104,24,183,77,1,5,4,86.0,83.0,75.0,83.0,25.0,66.0,75,83,65,78,73,85,81,70,64,82,87,86,79,81,77,83,65,80,62,86,60,29,83,78,71,78,17,19,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,211300,21,181,76,1,4,4,90.0,79.0,70.0,86.0,41.0,74.0,73,81,70,75,74,88,79,54,58,84,92,89,85,81,82,84,80,79,76,70,59,42,79,70,74,78,35,39,38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,54050,31,176,83,1,4,3,68.0,81.0,81.0,76.0,52.0,81.0,78,80,75,81,83,73,84,81,82,80,67,68,71,83,77,86,76,78,83,79,81,54,79,80,83,88,48,51,37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59,189963,28,182,88,1,4,3,66.0,80.0,59.0,72.0,39.0,81.0,45,80,82,68,76,72,66,58,45,75,63,68,67,72,71,83,83,73,90,76,68,38,83,65,77,77,25,42,28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60,204529,23,185,86,1,4,3,79.0,80.0,59.0,77.0,27.0,74.0,65,83,73,64,74,76,61,46,36,77,77,80,78,79,78,83,81,65,82,76,61,23,83,63,67,81,16,26,22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
61,190765,26,181,76,1,4,3,65.0,68.0,78.0,73.0,62.0,76.0,78,65,53,79,61,72,81,77,76,76,67,64,68,73,73,74,72,90,74,72,66,71,68,76,57,71,58,64,63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,201514,25,178,74,1,2,3,84.0,71.0,63.0,72.0,37.0,74.0,66,73,73,66,68,72,66,46,54,71,85,83,74,71,74,72,80,81,73,66,67,25,71,66,65,69,20,53,32,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,183277,26,173,76,1,4,4,90.0,82.0,84.0,92.0,32.0,66.0,80,83,57,86,79,93,82,79,81,92,93,87,93,85,91,79,59,79,65,82,54,41,85,86,86,87,25,27,22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
64,173608,27,192,80,1,3,3,62.0,75.0,64.0,73.0,26.0,67.0,58,75,80,70,75,74,76,71,49,76,61,63,67,74,53,77,64,68,71,71,57,19,78,68,72,65,17,24,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,157665,30,188,78,1,3,2,45.0,40.0,52.0,49.0,79.0,77.0,30,40,85,63,29,38,30,29,65,63,44,45,49,77,54,52,69,73,82,32,73,80,36,55,30,71,77,78,78,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
66,176571,27,176,72,0,3,3,75.0,74.0,75.0,79.0,56.0,77.0,77,73,76,77,65,78,74,57,71,79,76,75,86,75,81,75,88,86,71,75,78,52,79,75,71,74,49,60,57,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67,211117,21,188,80,1,3,4,76.0,81.0,77.0,82.0,64.0,78.0,68,84,75,83,76,83,71,53,76,85,77,76,74,85,62,77,69,89,71,79,84,67,86,83,68,86,60,63,57,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,201942,25,181,76,1,4,4,77.0,81.0,79.0,85.0,46.0,77.0,72,83,72,83,79,87,80,67,75,85,77,77,82,82,81,79,81,86,76,80,66,37,84,83,72,78,30,59,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,184941,28,169,62,1,3,4,86.0,84.0,80.0,89.0,40.0,78.0,80,85,70,81,83,90,78,78,73,87,88,84,90,87,87,84,85,85,72,82,80,42,86,83,77,86,30,39,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
70,202515,24,178,72,1,4,4,83.0,71.0,73.0,81.0,24.0,56.0,73,71,42,77,55,81,74,66,69,81,87,80,85,71,74,73,71,63,62,72,29,33,75,70,68,74,16,23,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71,179746,27,188,90,1,3,2,58.0,77.0,64.0,70.0,43.0,83.0,59,78,81,68,70,71,61,46,60,77,57,59,53,74,57,80,86,79,86,71,80,42,78,70,79,75,42,38,29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
72,184111,26,190,83,1,4,3,73.0,79.0,65.0,73.0,33.0,80.0,58,79,87,72,73,73,60,67,48,80,70,76,69,72,48,85,82,74,90,74,63,29,76,73,77,78,25,30,18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
73,188540,26,181,72,1,3,4,84.0,56.0,59.0,77.0,37.0,63.0,58,51,38,64,51,79,67,57,52,76,83,85,78,58,74,67,56,67,65,54,54,34,62,57,63,66,27,48,36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
74,198717,24,180,66,1,3,4,90.0,71.0,71.0,86.0,33.0,72.0,79,74,43,72,59,88,54,51,65,86,89,90,89,73,79,75,50,78,73,62,68,23,74,74,66,76,36,32,34,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,169216,30,178,70,1,2,3,83.0,72.0,60.0,74.0,37.0,80.0,70,73,75,62,70,73,54,37,49,75,84,82,73,77,73,76,93,80,78,67,80,42,77,63,72,70,36,27,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
76,178224,29,175,73,1,3,3,79.0,80.0,66.0,78.0,31.0,59.0,62,87,82,70,79,76,67,52,55,79,84,75,81,83,83,76,82,68,53,69,59,26,87,72,76,81,22,29,25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
77,192123,25,191,95,1,3,2,70.0,76.0,54.0,66.0,37.0,80.0,41,77,75,65,66,66,63,54,48,69,67,72,62,69,55,80,68,76,86,71,74,40,77,50,77,72,32,30,29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
78,225539,19,185,75,1,3,3,75.0,67.0,62.0,73.0,25.0,62.0,54,70,64,71,65,73,54,42,58,76,76,74,73,63,69,68,69,68,70,57,34,22,66,63,71,64,24,15,22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
79,189157,28,188,84,1,4,5,87.0,68.0,68.0,84.0,31.0,78.0,75,64,51,71,51,87,62,49,67,82,86,87,82,74,76,81,64,76,82,71,76,31,69,65,65,69,27,34,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
